winner,win_by,win_by_runs,win_by_wickets,win_by_count,location,date,href,match_id,first_innings,second_innings,toss_winner,first_innings_run,first_innings_fow,first_innings_extras,second_innings_run,second_innings_fow,second_innings_extras,is_dl,chasing_overs,chasing_target_overs,adjusted_chasing_target
Pakistan,wickets,0,4,4 wickets,Sydney,1997-01-01,/ci/engine/match/65545.html,1155,Australia,Pakistan,Australia,199,10,10,203.0,6.0,7.0,0,45.3,50.0,200.0
West Indies,wickets,0,6,6 wickets,Brisbane,1997-01-03,/ci/engine/match/65546.html,1157,Pakistan,West Indies,West Indies,197,10,22,198.0,4.0,11.0,0,48.1,50.0,0.0
West Indies,wickets,0,7,7 wickets,Brisbane,1997-01-05,/ci/engine/match/65547.html,1159,Australia,West Indies,Australia,281,4,18,284.0,3.0,11.0,0,48.5,50.0,282.0
Pakistan,runs,29,0,29 runs,Hobart,1997-01-07,/ci/engine/match/65548.html,1160,Pakistan,Australia,Pakistan,149,10,22,120.0,10.0,28.0,0,41.3,50.0,150.0
West Indies,wickets,0,5,5 wickets,Perth,1997-01-10,/ci/engine/match/65549.html,1161,Pakistan,West Indies,West Indies,257,7,19,258.0,5.0,19.0,0,48.4,50.0,0.0
West Indies,wickets,0,4,4 wickets,Perth,1997-01-12,/ci/engine/match/65550.html,1162,Australia,West Indies,Australia,267,7,24,269.0,6.0,15.0,0,49.2,50.0,268.0
Pakistan,wickets,0,8,8 wickets,Sydney,1997-01-14,/ci/engine/match/65551.html,1163,West Indies,Pakistan,Pakistan,181,10,15,183.0,2.0,12.0,0,39.2,50.0,182.0
Australia,wickets,0,3,3 wickets,Melbourne,1997-01-16,/ci/engine/match/65552.html,1164,Pakistan,Australia,Pakistan,181,9,6,182.0,7.0,17.0,0,49.3,50.0,0.0
Pakistan,wickets,0,4,4 wickets,Sydney,1997-01-18,/ci/engine/match/65553.html,1165,West Indies,Pakistan,Pakistan,179,9,13,185.0,6.0,20.0,0,38.2,50.0,180.0
Pakistan,runs,62,0,62 runs,Melbourne,1997-01-20,/ci/engine/match/65554.html,1166,Pakistan,West Indies,Pakistan,165,10,21,103.0,10.0,18.0,0,40.3,50.0,166.0
South Africa,runs,39,0,39 runs,Bloemfontein,1997-01-23,/ci/engine/match/66068.html,1167,South Africa,India,South Africa,270,4,15,231.0,10.0,18.0,0,47.4,50.0,271.0
South Africa,wickets,0,6,6 wickets,Port Elizabeth,1997-02-02,/ci/engine/match/66073.html,1172,India,South Africa,India,179,9,8,180.0,4.0,12.0,0,45.1,50.0,0.0
South Africa,wickets,0,6,6 wickets,East London,1997-02-04,/ci/engine/match/66074.html,1173,India,South Africa,India,232,5,11,236.0,4.0,13.0,0,49.2,50.0,233.0
South Africa,runs,17,0,17 runs,Durban,1997-02-13,/ci/engine/match/66078.html,1177,South Africa,India,South Africa,278,8,15,234.0,10.0,10.0,0,39.2,40.0,251.0
England,wickets,0,4,4 wickets,Christchurch,1997-02-20,/ci/engine/match/64538.html,1179,New Zealand,England,New Zealand,222,6,15,226.0,6.0,12.0,0,48.5,50.0,223.0
England,wickets,0,6,6 wickets,Auckland,1997-02-23,/ci/engine/match/64539.html,1180,New Zealand,England,New Zealand,253,8,29,134.0,4.0,3.0,0,19.3,26.0,132.0
New Zealand,runs,9,0,9 runs,Auckland,1997-03-02,/ci/engine/match/64541.html,1182,New Zealand,England,England,153,10,16,144.0,10.0,13.0,0,41.3,43.0,154.0
New Zealand,runs,28,0,28 runs,Wellington,1997-03-04,/ci/engine/match/64542.html,1183,New Zealand,England,New Zealand,228,8,26,200.0,10.0,17.0,0,47.5,50.0,229.0
Sri Lanka,wickets,0,6,6 wickets,Christchurch,1997-03-25,/ci/engine/match/64543.html,1184,New Zealand,Sri Lanka,Sri Lanka,201,9,7,202.0,4.0,6.0,0,35.5,50.0,0.0
New Zealand,runs,69,0,69 runs,Wellington,1997-03-27,/ci/engine/match/64544.html,1185,New Zealand,Sri Lanka,Sri Lanka,201,10,18,132.0,10.0,29.0,0,37.2,50.0,202.0
South Africa,wickets,0,6,6 wickets,East London,1997-03-29,/ci/engine/match/64545.html,1186,Australia,South Africa,South Africa,223,9,7,227.0,4.0,18.0,0,47,50.0,224.0
Australia,wickets,0,7,7 wickets,Port Elizabeth,1997-03-31,/ci/engine/match/64546.html,1187,South Africa,Australia,Australia,221,8,11,222.0,3.0,7.0,0,45,50.0,0.0
South Africa,runs,46,0,46 runs,Cape Town,1997-04-02,/ci/engine/match/64547.html,1188,South Africa,Australia,Australia,245,8,14,199.0,10.0,11.0,0,44.5,50.0,246.0
Sri Lanka,runs,19,0,19 runs,Sharjah,1997-04-04,/ci/engine/match/65762.html,1190,Sri Lanka,Pakistan,Pakistan,243,8,18,224.0,9.0,16.0,0,0,50.0,0.0
Australia,runs,15,0,15 runs,Durban,1997-04-05,/ci/engine/match/64548.html,1191,Australia,South Africa,Australia,211,9,3,196.0,10.0,10.0,0,48.1,50.0,212.0
Sri Lanka,runs,51,0,51 runs,Sharjah,1997-04-07,/ci/engine/match/65764.html,1193,Sri Lanka,Pakistan,Sri Lanka,251,7,11,200.0,10.0,5.0,0,45.4,50.0,252.0
Australia,runs,8,0,8 runs,Johannesburg,1997-04-08,/ci/engine/match/64549.html,1195,Australia,South Africa,Australia,258,7,10,250.0,8.0,12.0,0,0,50.0,0.0
Australia,wickets,0,5,5 wickets,Centurion,1997-04-10,/ci/engine/match/64550.html,1197,South Africa,Australia,South Africa,284,7,17,287.0,5.0,14.0,0,49,50.0,285.0
Sri Lanka,wickets,0,4,4 wickets,Sharjah,1997-04-11,/ci/engine/match/65767.html,1198,Pakistan,Sri Lanka,Pakistan,214,10,8,215.0,6.0,17.0,0,49.2,50.0,0.0
South Africa,runs,109,0,109 runs,Bloemfontein,1997-04-13,/ci/engine/match/64551.html,1199,South Africa,Australia,Australia,310,6,19,201.0,10.0,18.0,0,37,50.0,311.0
West Indies,wickets,0,8,8 wickets,Port of Spain,1997-04-26,/ci/engine/match/64552.html,1200,India,West Indies,India,179,10,31,149.0,2.0,18.0,0,27.5,33.0,146.0
India,wickets,0,10,10 wickets,Port of Spain,1997-04-27,/ci/engine/match/64553.html,1201,West Indies,India,India,121,10,7,116.0,10.0,12.0,0,23.1,40.0,113.0
West Indies,runs,18,0,18 runs,Kingstown,1997-04-30,/ci/engine/match/64554.html,1202,West Indies,India,India,249,9,27,231.0,10.0,18.0,0,48.2,50.0,250.0
West Indies,wickets,0,10,10 wickets,Bridgetown,1997-05-03,/ci/engine/match/64555.html,1203,India,West Indies,West Indies,199,7,4,200.0,10.0,13.0,0,44.4,50.0,0.0
New Zealand,runs,22,0,22 runs,Mohali,1997-05-09,/ci/engine/match/66108.html,1204,New Zealand,Pakistan,Pakistan,285,7,13,263.0,9.0,12.0,0,0,50.0,0.0
Pakistan,runs,30,0,30 runs,Gwalior,1997-05-12,/ci/engine/match/66109.html,1205,Pakistan,Sri Lanka,Pakistan,289,6,12,259.0,10.0,15.0,0,49.5,50.0,290.0
