match_id,date,location,first_innings,second_innings,winner,win_by,win_dif,toss_winner,player_of_match
661689,2014-01-01,Queenstown Events Centre,New Zealand,West Indies,New Zealand,runs,159,West Indies,CJ Anderson
661693,2014-01-08,Hamilton,West Indies,New Zealand,West Indies,runs,203,New Zealand,DJ Bravo
636159,2014-01-12,Melbourne Cricket Ground,England,Australia,Australia,wickets,6,England,AJ Finch
636160,2014-01-17,Brisbane,England,Australia,Australia,wickets,1,England,JP Faulkner
667641,2014-01-19,Napier,New Zealand,India,New Zealand,runs,24,India,CJ Anderson
636161,2014-01-19,Sydney Cricket Ground,England,Australia,Australia,wickets,7,England,DA Warner
636162,2014-01-24,Perth,England,Australia,England,runs,57,Australia,BA Stokes
636163,2014-01-26,Adelaide Oval,Australia,England,Australia,runs,5,Australia,JP Faulkner
667647,2014-01-28,Hamilton,India,New Zealand,New Zealand,wickets,7,India,LRPL Taylor
667649,2014-01-31,Wellington,New Zealand,India,New Zealand,runs,87,India,LRPL Taylor
690355,2014-02-17,Mirpur,Sri Lanka,Bangladesh,Sri Lanka,runs,13,Bangladesh,NLTC Perera
690357,2014-02-20,Mirpur,Sri Lanka,Bangladesh,Sri Lanka,runs,61,Sri Lanka,KC Sangakkara
690359,2014-02-22,Mirpur,Bangladesh,Sri Lanka,Sri Lanka,wickets,6,Sri Lanka,MDKJ Perera
710291,2014-02-25,Fatullah,Sri Lanka,Pakistan,Sri Lanka,runs,12,Sri Lanka,SL Malinga
710293,2014-02-26,Fatullah,Bangladesh,India,India,wickets,6,India,V Kohli
710297,2014-02-28,Fatullah,India,Sri Lanka,Sri Lanka,wickets,2,Sri Lanka,KC Sangakkara
636533,2014-02-28,Antigua,West Indies,England,West Indies,runs,15,England,DJ Bravo
710301,2014-03-02,Mirpur,India,Pakistan,Pakistan,wickets,1,Pakistan,Mohammad Hafeez
636534,2014-03-02,Antigua,West Indies,England,England,wickets,3,England,SD Parry
710305,2014-03-04,Mirpur,Bangladesh,Pakistan,Pakistan,wickets,3,Bangladesh,Shahid Afridi
636535,2014-03-05,Antigua,England,West Indies,England,runs,25,West Indies,JE Root
710309,2014-03-06,Mirpur,Bangladesh,Sri Lanka,Sri Lanka,wickets,3,Bangladesh,AD Mathews
710311,2014-03-08,Mirpur,Pakistan,Sri Lanka,Sri Lanka,wickets,5,Pakistan,SL Malinga
667891,2014-05-25,Chester-le-Street,Sri Lanka,England,Sri Lanka,runs,157,England,TM Dilshan
667893,2014-05-28,Manchester,Sri Lanka,England,England,wickets,10,England,CJ Jordan
667895,2014-05-31,London,Sri Lanka,England,Sri Lanka,runs,7,England,JC Buttler
667897,2014-06-03,Birmingham,England,Sri Lanka,Sri Lanka,wickets,6,England,HDRL Thirimanne
730083,2014-07-06,Colombo,South Africa,Sri Lanka,South Africa,runs,75,South Africa,HM Amla
730085,2014-07-09,Pallekele International Cricket Stadium,Sri Lanka,South Africa,Sri Lanka,runs,87,Sri Lanka,TM Dilshan
730087,2014-07-12,Hambantota,South Africa,Sri Lanka,South Africa,runs,82,South Africa,AB de Villiers
730287,2014-08-20,Grenada,Bangladesh,West Indies,West Indies,wickets,3,West Indies,KA Pollard
730289,2014-08-22,Grenada,West Indies,Bangladesh,West Indies,runs,177,Bangladesh,SP Narine
730291,2014-08-25,St Kitts,West Indies,Bangladesh,West Indies,runs,91,West Indies,D Ramdin
745161,2014-08-26,Hambantota,Sri Lanka,Pakistan,Sri Lanka,runs,77,Sri Lanka,NLTC Perera
736445,2014-08-27,Harare Sports Club,Australia,South Africa,South Africa,wickets,7,South Africa,AB de Villiers
667725,2014-08-30,Nottingham,England,India,India,wickets,6,India,R Ashwin
736451,2014-09-02,Harare Sports Club,Australia,South Africa,Australia,runs,62,South Africa,MR Marsh
667727,2014-09-02,Birmingham,England,India,India,wickets,9,India,AM Rahane
667729,2014-09-05,Leeds,England,India,England,runs,41,India,JE Root
736455,2014-09-06,Harare Sports Club,Australia,South Africa,South Africa,wickets,6,South Africa,DW Steyn
727919,2014-10-07,Sharjah Cricket Stadium,Australia,Pakistan,Australia,runs,93,Australia,SPD Smith
770121,2014-10-08,Kochi,West Indies,India,West Indies,runs,124,India,MN Samuels
727921,2014-10-10,Dubai International Cricket Stadium,Pakistan,Australia,Australia,wickets,5,Pakistan,GJ Maxwell
770123,2014-10-11,Delhi,India,West Indies,India,runs,48,India,Mohammed Shami
727923,2014-10-12,Abu Dhabi,Australia,Pakistan,Australia,runs,1,Australia,GJ Maxwell
770127,2014-10-17,Dharmasala,India,West Indies,India,runs,59,West Indies,V Kohli
749771,2014-10-21,Mount Maunganui,New Zealand,South Africa,South Africa,wickets,6,South Africa,AB de Villiers
749773,2014-10-24,Mount Maunganui,South Africa,New Zealand,South Africa,runs,72,New Zealand,HM Amla
792289,2014-11-02,Cuttack,India,Sri Lanka,India,runs,169,Sri Lanka,AM Rahane
792291,2014-11-06,Ahmedabad,Sri Lanka,India,India,wickets,6,Sri Lanka,AT Rayudu
792293,2014-11-09,Hyderabad,Sri Lanka,India,India,wickets,6,Sri Lanka,DPMD Jayawardene
792295,2014-11-13,Kolkata,India,Sri Lanka,India,runs,153,India,RG Sharma
754723,2014-11-14,Perth,Australia,South Africa,Australia,runs,32,South Africa,NM Coulter-Nile
792297,2014-11-16,Ranchi,Sri Lanka,India,India,wickets,3,Sri Lanka,AD Mathews
754725,2014-11-16,Perth,Australia,South Africa,South Africa,wickets,3,Australia,M Morkel
754727,2014-11-19,Canberra,Australia,South Africa,Australia,runs,73,Australia,SPD Smith
754729,2014-11-21,Melbourne Cricket Ground,South Africa,Australia,Australia,wickets,3,South Africa,SPD Smith
750663,2014-11-26,Colombo,Sri Lanka,England,Sri Lanka,runs,25,England,TM Dilshan
750665,2014-11-29,Colombo,England,Sri Lanka,Sri Lanka,wickets,8,England,DPMD Jayawardene
750669,2014-12-07,Colombo,England,Sri Lanka,Sri Lanka,wickets,6,England,KC Sangakkara
742619,2014-12-08,Dubai International Cricket Stadium,New Zealand,Pakistan,Pakistan,wickets,3,Pakistan,Haris Sohail
750671,2014-12-10,Pallekele International Cricket Stadium,Sri Lanka,England,England,wickets,5,England,JE Root
742621,2014-12-12,Sharjah Cricket Stadium,Pakistan,New Zealand,New Zealand,wickets,4,Pakistan,KS Williamson
750673,2014-12-13,Pallekele International Cricket Stadium,Sri Lanka,England,Sri Lanka,runs,90,Sri Lanka,KC Sangakkara
742623,2014-12-14,Sharjah Cricket Stadium,Pakistan,New Zealand,Pakistan,runs,147,Pakistan,Ahmed Shehzad
750675,2014-12-16,Colombo,Sri Lanka,England,Sri Lanka,runs,87,Sri Lanka,TM Dilshan
742625,2014-12-17,Abu Dhabi,New Zealand,Pakistan,New Zealand,runs,7,New Zealand,KS Williamson
742627,2014-12-19,Abu Dhabi,New Zealand,Pakistan,New Zealand,runs,68,New Zealand,MJ Henry
749781,2015-01-11,Christchurch,Sri Lanka,New Zealand,New Zealand,wickets,3,Sri Lanka,CJ Anderson
749783,2015-01-15,Hamilton,New Zealand,Sri Lanka,Sri Lanka,wickets,6,New Zealand,TM Dilshan
754751,2015-01-16,Sydney Cricket Ground,England,Australia,Australia,wickets,3,England,MA Starc
722341,2015-01-18,Johannesburg,South Africa,West Indies,South Africa,runs,148,West Indies,AB de Villiers
754749,2015-01-18,Melbourne Cricket Ground,India,Australia,Australia,wickets,4,India,MA Starc
749787,2015-01-20,Nelson,Sri Lanka,New Zealand,New Zealand,wickets,4,Sri Lanka,KS Williamson
754753,2015-01-20,Brisbane,India,England,England,wickets,9,India,ST Finn
722343,2015-01-21,East London,West Indies,South Africa,South Africa,wickets,9,West Indies,VD Philander
749789,2015-01-23,Dunedin,New Zealand,Sri Lanka,New Zealand,runs,108,Sri Lanka,GD Elliott
754755,2015-01-23,Hobart,England,Australia,Australia,wickets,3,Australia,SPD Smith
749791,2015-01-25,Dunedin,New Zealand,Sri Lanka,New Zealand,runs,120,New Zealand,CJ Anderson
722345,2015-01-25,Port Elizabeth,South Africa,West Indies,West Indies,wickets,1,West Indies,AD Russell
722347,2015-01-28,Centurion,South Africa,West Indies,South Africa,runs,131,West Indies,RR Rossouw
749793,2015-01-29,Wellington,Sri Lanka,New Zealand,Sri Lanka,runs,34,Sri Lanka,KC Sangakkara
754759,2015-01-30,Perth,India,England,England,wickets,3,England,JWA Taylor
749795,2015-01-31,Wellington,Pakistan,New Zealand,New Zealand,wickets,7,New Zealand,GD Elliott
754761,2015-02-01,Perth,Australia,England,Australia,runs,112,England,GJ Maxwell
749797,2015-02-03,Napier,New Zealand,Pakistan,New Zealand,runs,119,New Zealand,KS Williamson
656401,2015-02-14,Melbourne Cricket Ground,Australia,England,Australia,runs,111,England,AJ Finch
656399,2015-02-14,Christchurch,New Zealand,Sri Lanka,New Zealand,runs,98,Sri Lanka,CJ Anderson
656405,2015-02-15,Adelaide Oval,India,Pakistan,India,runs,76,India,V Kohli
656415,2015-02-20,Wellington,England,New Zealand,New Zealand,wickets,8,England,TG Southee
656417,2015-02-21,Christchurch,West Indies,Pakistan,West Indies,runs,150,Pakistan,AD Russell
656423,2015-02-22,Melbourne Cricket Ground,India,South Africa,India,runs,130,India,S Dhawan
656433,2015-02-26,Melbourne Cricket Ground,Sri Lanka,Bangladesh,Sri Lanka,runs,92,Sri Lanka,TM Dilshan
656435,2015-02-27,Sydney Cricket Ground,South Africa,West Indies,South Africa,runs,257,South Africa,AB de Villiers
