match_id,team_statistics,batsman_1,batsman_1_runs,batsman_2,batsman_2_runs,batsman_3,batsman_3_runs,batsman_4,batsman_4_runs,batsman_5,batsman_5_runs,batsman_6,batsman_6_runs,batsman_7,batsman_7_runs,batsman_8,batsman_8_runs,batsman_9,batsman_9_runs,batsman_10,batsman_10_runs,batsman_11,batsman_11_runs,bowler_1,bowler_1_wickets,bowler_2,bowler_2_wickets,bowler_3,bowler_3_wickets,bowler_4,bowler_4_wickets,bowler_5,bowler_5_wickets,bowler_6,bowler_6_wickets,bowler_7,bowler_7_wickets,bowler_8,bowler_8_wickets,bowler_9,bowler_9_wickets,bowler_10,bowler_10_wickets,bowler_11,bowler_11_wickets,total_run,total_wickets
661693,West Indies,KOA Powell,73,J Charles,31,KA Edwards,123,LMP Simmons,9,DJ Bravo,106,AD Russell,6,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,JO Holder,2,DJ Bravo,1,NO Miller,4,SP Narine,0,AD Russell,2,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,363,10
661693,New Zealand,MJ Guptill,6,JD Ryder,17,KS Williamson,16,LRPL Taylor,9,BB McCullum,6,CJ Anderson,29,L Ronchi,15,NL McCullum,18,KD Mills,26,TG Southee,9,MJ McClenaghan,0,TG Southee,0,MJ McClenaghan,0,NL McCullum,1,CJ Anderson,1,KD Mills,0,KS Williamson,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,160,4
636159,England,AN Cook,4,JE Root,3,IR Bell,41,GS Ballance,79,EJG Morgan,50,RS Bopara,17,BA Stokes,21,JC Buttler,34,TT Bresnan,16,not_batted,0,not_batted,0,WB Rankin,0,CJ Jordan,1,TT Bresnan,1,BA Stokes,1,RS Bopara,0,JE Root,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,269,4
636159,Australia,AJ Finch,121,DA Warner,65,SR Watson,0,MJ Clarke,43,GJ Bailey,17,GJ Maxwell,8,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,CJ McKay,3,NM Coulter-Nile,1,GJ Maxwell,1,XJ Doherty,1,JP Faulkner,1,SR Watson,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,270,7
636160,England,AN Cook,22,IR Bell,68,JE Root,2,GS Ballance,9,EJG Morgan,106,RS Bopara,24,JC Buttler,49,BA Stokes,0,TT Bresnan,1,CJ Jordan,2,not_batted,0,WB Rankin,1,CJ Jordan,2,TT Bresnan,2,BA Stokes,1,JE Root,2,RS Bopara,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,300,9
636160,Australia,DA Warner,18,AJ Finch,0,SE Marsh,55,MJ Clarke,17,GJ Bailey,24,GJ Maxwell,54,BJ Haddin,26,NM Coulter-Nile,16,JP Faulkner,69,MG Johnson,1,CJ McKay,2,CJ McKay,0,MG Johnson,1,NM Coulter-Nile,2,JP Faulkner,2,GJ Maxwell,2,MJ Clarke,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,301,8
667641,New Zealand,MJ Guptill,8,JD Ryder,18,KS Williamson,71,LRPL Taylor,55,BB McCullum,30,CJ Anderson,68,L Ronchi,30,NL McCullum,2,TG Southee,3,not_batted,0,not_batted,0,TG Southee,1,MJ McClenaghan,4,AF Milne,1,CJ Anderson,2,NL McCullum,0,KS Williamson,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,292,10
667641,India,RG Sharma,3,S Dhawan,32,V Kohli,123,AM Rahane,7,SK Raina,18,MS Dhoni,40,RA Jadeja,0,R Ashwin,12,B Kumar,6,I Sharma,5,Mohammed Shami,7,B Kumar,1,Mohammed Shami,4,I Sharma,1,RA Jadeja,1,R Ashwin,0,V Kohli,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,268,7
636161,England,AN Cook,35,IR Bell,29,BA Stokes,15,GS Ballance,26,EJG Morgan,54,RS Bopara,21,JC Buttler,4,TT Bresnan,41,SCJ Broad,1,CJ Jordan,10,JC Tredwell,2,CJ Jordan,1,SCJ Broad,0,TT Bresnan,0,JC Tredwell,0,RS Bopara,1,BA Stokes,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,243,3
636161,Australia,AJ Finch,22,DA Warner,71,SE Marsh,71,MJ Clarke,34,BJ Haddin,35,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,JP Faulkner,2,JL Pattinson,0,NM Coulter-Nile,3,XJ Doherty,1,GJ Maxwell,0,DT Christian,2,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,244,9
636162,England,AN Cook,44,IR Bell,55,BA Stokes,70,GS Ballance,18,EJG Morgan,33,RS Bopara,3,JC Buttler,71,TT Bresnan,2,SCJ Broad,4,not_batted,0,not_batted,0,CJ Jordan,0,SCJ Broad,2,TT Bresnan,3,JC Tredwell,0,RS Bopara,1,BA Stokes,4,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,316,10
636162,Australia,SE Marsh,15,AJ Finch,108,MS Wade,23,GJ Bailey,11,SPD Smith,19,GJ Maxwell,26,DT Christian,23,JP Faulkner,2,MG Johnson,6,NM Coulter-Nile,8,JL Pattinson,4,MG Johnson,0,JL Pattinson,1,JP Faulkner,4,NM Coulter-Nile,1,GJ Maxwell,1,DT Christian,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,259,8
636163,Australia,AJ Finch,7,SE Marsh,36,SR Watson,0,MJ Clarke,8,GJ Bailey,56,GJ Maxwell,22,MS Wade,31,JP Faulkner,27,NM Coulter-Nile,15,XJ Doherty,1,CJ McKay,1,CJ McKay,3,NM Coulter-Nile,3,JP Faulkner,2,XJ Doherty,0,SR Watson,1,GJ Maxwell,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,217,10
636163,England,AN Cook,39,IR Bell,14,BA Stokes,0,JE Root,55,EJG Morgan,39,RS Bopara,25,JC Buttler,5,TT Bresnan,13,SCJ Broad,7,CJ Jordan,4,JC Tredwell,0,SCJ Broad,3,CJ Jordan,2,TT Bresnan,1,JC Tredwell,0,BA Stokes,3,RS Bopara,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,212,9
667647,India,RG Sharma,79,V Kohli,2,AM Rahane,3,AT Rayudu,37,MS Dhoni,79,R Ashwin,5,RA Jadeja,62,not_batted,0,not_batted,0,not_batted,0,not_batted,0,B Kumar,0,Mohammed Shami,1,VR Aaron,1,RA Jadeja,0,R Ashwin,0,STR Binny,0,AT Rayudu,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,278,3
667647,New Zealand,MJ Guptill,35,JD Ryder,19,KS Williamson,60,LRPL Taylor,112,BB McCullum,49,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,KD Mills,1,TG Southee,2,HK Bennett,1,JDS Neesham,0,NL McCullum,0,KS Williamson,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,280,5
667649,New Zealand,MJ Guptill,16,JD Ryder,17,KS Williamson,88,LRPL Taylor,102,BB McCullum,23,JDS Neesham,34,L Ronchi,11,not_batted,0,not_batted,0,not_batted,0,not_batted,0,KD Mills,2,MJ McClenaghan,0,MJ Henry,4,JDS Neesham,1,NL McCullum,1,KS Williamson,2,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,303,10
667649,India,RG Sharma,4,S Dhawan,9,V Kohli,82,AM Rahane,2,AT Rayudu,20,MS Dhoni,47,R Ashwin,7,RA Jadeja,5,B Kumar,20,Mohammed Shami,14,VR Aaron,0,Mohammed Shami,1,B Kumar,1,VR Aaron,2,R Ashwin,0,RA Jadeja,0,V Kohli,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,216,5
690355,Sri Lanka,MDKJ Perera,20,TM Dilshan,3,KC Sangakkara,8,LD Chandimal,13,SMA Priyanjan,6,AD Mathews,3,KDK Vithanage,7,KMDN Kulasekara,0,NLTC Perera,80,SMSM Senanayake,30,SL Malinga,0,SL Malinga,1,KMDN Kulasekara,0,AD Mathews,3,SMSM Senanayake,2,NLTC Perera,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,180,10
690355,Bangladesh,Anamul Haque,0,Mominul Haque,44,Shamsur Rahman,62,Mushfiqur Rahim,27,Shakib Al Hasan,3,Nasir Hossain,8,Mahmudullah,0,Sohag Gazi,6,Arafat Sunny,5,Rubel Hossain,4,Al-Amin Hossain,2,Al-Amin Hossain,1,Rubel Hossain,2,Shakib Al Hasan,2,Arafat Sunny,2,Sohag Gazi,1,Mahmudullah,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,167,10
690357,Sri Lanka,MDKJ Perera,8,TM Dilshan,8,KC Sangakkara,128,LD Chandimal,9,SMA Priyanjan,60,AD Mathews,56,NLTC Perera,0,KDK Vithanage,13,not_batted,0,not_batted,0,not_batted,0,SL Malinga,2,AD Mathews,0,SMSM Senanayake,2,NLTC Perera,2,BAW Mendis,2,SMA Priyanjan,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,289,10
690357,Bangladesh,Anamul Haque,42,Shamsur Rahman,0,Mominul Haque,15,Mushfiqur Rahim,79,Shakib Al Hasan,24,Nasir Hossain,22,Mahmudullah,1,Sohag Gazi,7,Mashrafe Mortaza,17,Arafat Sunny,1,Rubel Hossain,6,Mashrafe Mortaza,0,Rubel Hossain,3,Sohag Gazi,1,Shakib Al Hasan,1,Arafat Sunny,1,Mahmudullah,0,Mominul Haque,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,228,6
690359,Bangladesh,Anamul Haque,2,Shamsur Rahman,25,Mominul Haque,60,Mushfiqur Rahim,30,Naeem Islam,32,Nasir Hossain,38,Mahmudullah,5,Sohag Gazi,23,Shafiul Islam,15,Arafat Sunny,1,not_batted,0,Shafiul Islam,0,Sohag Gazi,0,Rubel Hossain,2,Mahmudullah,2,Nasir Hossain,0,Arafat Sunny,0,Naeem Islam,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,240,4
690359,Sri Lanka,MDKJ Perera,106,HDRL Thirimanne,18,KDK Vithanage,9,LD Chandimal,64,AD Mathews,20,SMA Priyanjan,22,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,RAS Lakmal,2,NLTC Perera,1,KTGD Prasad,3,SMSM Senanayake,1,SMA Priyanjan,0,AK Perera,0,AD Mathews,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,246,8
