batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,correlation,no_of_matches_batsman,batsman_score,batsman_quantile
AB de Villiers,South Africa,1045,1.415989159891599,69.66666666666667,8.492026600114938,5.365211837868395,5,0.207995190862639,1.73,0.7149164400653287,15,10.0,5
Martin Guptill,New Zealand,1180,1.009409751924722,45.38461538461539,10.0,7.150855145852372,4,0.2167352537722908,1.0663667041619798,0.2654044572334262,26,9.300106889743473,5
Tillakaratne Dilshan,Sri Lanka,1103,0.8967479674796748,50.13636363636363,8.16041512334615,6.701650133830349,3,0.27114041892940266,0.9776223776223776,0.6182117982552657,22,8.80046260255885,5
Kane Williamson,New Zealand,1118,0.9089430894308943,50.81818181818182,10.0,7.185783754169648,3,0.16506630086877,0.9823129251700681,0.49164040198317266,22,8.64394679634252,4
Kumar Sangakkara,Sri Lanka,731,1.0013698630136987,66.45454545454545,8.16041512334615,8.878870344755724,2,0.14468580294802172,1.2110389610389611,0.6023838290763055,11,8.241984521155507,4
Soumya Sarkar,Bangladesh,642,1.0239234449760766,49.38461538461539,4.775773092293983,6.388267515996893,3,0.25655021834061137,1.0444444444444445,-0.184199893118897,13,7.61107229160659,4
Eoin Morgan,England,921,0.9312436804853387,41.86363636363637,7.266790801339121,7.094034538510323,2,0.14947289156626506,1.0179487179487179,0.4133128271209579,22,7.371402131814943,4
Steven Smith,Australia,689,0.8623279098873592,45.93333333333333,7.132983298564889,7.197117027444503,2,0.2059100911662999,0.8815612382234186,0.42748520712767313,15,7.347901313557006,4
Ross Taylor,New Zealand,898,0.8193430656934306,42.76190476190476,10.0,6.8631106545297405,1,0.15249199817101053,0.8787878787878788,0.4883666949468978,21,7.344470577003903,4
Hashim Amla,South Africa,880,0.9272918861959958,44.0,8.492026600114938,5.198295598412702,1,0.22272317403065825,0.9586028460543338,0.5433303211543573,20,7.320507480621258,4
Grant Elliott,New Zealand,723,1.0432900432900434,36.15,10.0,6.87608779486615,2,0.10928212162780064,1.0988505747126436,0.16010305715978515,20,7.308979895270215,4
Brendon McCullum,New Zealand,679,1.515625,33.95,10.0,6.798245431088921,0,0.11682670324645633,1.6644951140065147,-0.23043325869790265,20,7.25694549204031,4
Glenn Maxwell,Australia,554,1.2913752913752914,42.61538461538461,7.132983298564889,6.976151123871416,2,0.14177931468091795,1.2885714285714285,0.6027629706516464,13,7.214140702168185,4
Jos Buttler,England,618,1.1749049429657794,36.35294117647059,7.266790801339121,6.745282938325441,2,0.14006024096385541,1.3932584269662922,0.6011586892057471,17,7.127426023543063,4
Corey Anderson,New Zealand,423,1.0496277915632755,35.25,10.0,7.138056012746813,3,0.08893461362597165,1.0599455040871935,0.05544148821001805,12,7.118755885408737,4
James Taylor,England,666,0.8366834170854272,37.0,7.266790801339121,6.199416581675907,3,0.13893072289156627,0.8541666666666666,0.022691944230422405,18,6.8773871156400865,4
Mohammad Hafeez,Pakistan,551,0.8273273273273273,39.357142857142854,3.3537458303909613,7.442611292783515,2,0.2707818930041152,0.8726790450928382,0.15946513341000984,14,6.771314250573508,4
Kusal Perera,Sri Lanka,396,1.11864406779661,44.0,8.16041512334615,3.140083972452194,3,0.13460046547711405,1.2006920415224913,0.6634294036624739,9,6.675962586715143,4
Lahiru Thirimanne,Sri Lanka,857,0.7797998180163785,38.95454545454545,8.16041512334615,6.701650133830349,0,0.1795965865011637,0.8312387791741472,0.2439582529626351,22,6.670860213849271,4
Joe Root,England,722,0.9220945083014048,42.470588235294116,7.266790801339121,7.08257902084722,0,0.13629518072289157,1.052325581395349,0.6136089243295862,17,6.466861955331218,4
Andre Russell,West Indies,234,1.6137931034482758,23.4,1.0,7.798705917736591,2,0.19962335216572505,2.0,0.32486422011896254,10,6.444646764606178,4
Aaron Finch,Australia,537,0.8717532467532467,41.30769230769231,7.132983298564889,7.1863979853068685,1,0.14303678088651367,0.8716475095785441,0.29219491952111804,13,6.399972760817274,4
Rilee Rossouw,South Africa,577,0.9428104575163399,41.214285714285715,8.492026600114938,4.54864750766235,1,0.1406672678088368,1.051685393258427,0.7074726491103552,14,6.3730920292600235,4
Tamim Iqbal,Bangladesh,496,0.8611111111111112,38.15384615384615,4.775773092293983,6.388267515996893,1,0.2472707423580786,0.9041916167664671,0.4415939430647432,13,6.3435313623864955,4
Virat Kohli,India,505,0.7977883096366508,31.5625,5.520738622939159,6.450534125004036,2,0.1956989247311828,0.8605200945626478,0.4086381991607185,16,6.297839201239525,4
Shikhar Dhawan,India,619,0.8398914518317503,38.6875,5.520738622939159,6.450534125004036,1,0.19032258064516128,0.8676470588235294,0.4038067399321933,16,6.2959482735664345,4
Mushfiqur Rahim,Bangladesh,480,0.9696969696969697,43.63636363636363,4.775773092293983,6.0057658643390655,1,0.19323144104803494,1.10625,0.4313165863145292,11,6.264483493255775,4
Rohit Sharma,India,678,0.952247191011236,48.42857142857143,5.520738622939159,6.333926028384738,1,0.11397849462365592,0.9298245614035088,0.3254684023721134,14,6.243330619925934,4
Luke Ronchi,New Zealand,405,1.332236842105263,19.285714285714285,10.0,7.166135253029732,0,0.0775034293552812,1.4933920704845816,0.319927948433971,21,6.218273758585887,4
Faf du Plessis,South Africa,751,0.8118918918918919,44.1764705882353,8.492026600114938,4.35093599813259,0,0.1406672678088368,0.8731343283582089,0.4035314636407561,17,6.138133361343438,4
Quinton de Kock,South Africa,477,0.9855371900826446,34.07142857142857,8.492026600114938,5.068993712018143,1,0.11121130147279831,1.022099447513812,0.24496783980433234,14,6.0219037775500315,4
MS Dhoni,India,555,0.8396369137670197,34.6875,5.520738622939159,6.450534125004036,1,0.14139784946236558,0.9740740740740741,-0.13629307636916693,16,5.919442613795062,4
Liam Plunkett,England,99,1.7678571428571428,19.8,7.266790801339121,8.279789979138933,0,0.011671686746987951,2.2142857142857144,0.14851869114091237,5,5.898395903146631,4
Matthew Wade,Australia,164,1.3781512605042017,41.0,7.132983298564889,7.266790801339121,1,0.022634391700723042,1.3846153846153846,-0.07258406873030793,4,5.875242763183802,4
Jason Roy,England,462,0.9829787234042553,33.0,7.266790801339121,7.0771357010277365,0,0.11746987951807229,0.9936305732484076,0.3606155280124808,14,5.825178023181848,4
Jonny Bairstow,England,141,1.175,35.25,7.266790801339121,7.849737473923666,1,0.04932228915662651,1.2476190476190476,-0.133225223713487,4,5.784717395286424,4
Dean Elgar,South Africa,5,2.5,5.0,8.492026600114938,5.520738622939159,0,0.0015028554253080854,2.5,0.01,1,5.758297061049937,4
Suresh Raina,India,407,0.9783653846153846,25.4375,5.520738622939159,6.450534125004036,1,0.13870967741935483,1.167420814479638,0.45253582883501736,16,5.715397272007242,4
Alex Hales,England,416,0.9162995594713657,27.733333333333334,7.266790801339121,6.923711527112153,1,0.09713855421686747,0.8927335640138409,0.33262826800896395,15,5.714103107435332,4
Mitchell Marsh,Australia,217,1.0585365853658537,31.0,7.132983298564889,7.657249258290674,1,0.05878654511160013,1.2222222222222223,0.5795433512886344,7,5.702226593852673,4
David Warner,Australia,369,0.9946091644204852,33.54545454545455,7.132983298564889,7.171781109664639,0,0.10531279471864194,1.0182370820668694,-0.3688441498813838,11,5.665786326117659,4
Mahela Jayawardene,Sri Lanka,301,0.9376947040498442,33.44444444444444,8.16041512334615,9.513889988742203,0,0.01590380139643134,0.9534883720930233,0.18405866502872514,9,5.570612828335873,4
Sarfaraz Ahmed,Pakistan,350,0.8997429305912596,26.923076923076923,3.3537458303909613,7.662968383128444,2,0.1176954732510288,0.9794520547945206,0.12595876666980713,13,5.53865261648714,4
Marlon Samuels,West Indies,438,0.8866396761133604,36.5,1.0,7.858990785338183,1,0.19962335216572505,0.7310344827586207,0.41465243906484345,12,5.493176367930132,4
Brad Haddin,Australia,186,1.4198473282442747,23.25,7.132983298564889,7.283631946822617,0,0.044954416850047155,1.5888888888888888,-0.25086694410142524,8,5.492798448076362,4
Ian Bell,England,403,0.9221967963386728,44.77777777777778,7.266790801339121,6.945510961753111,0,0.036897590361445784,0.9423076923076923,0.4883074323704676,9,5.466856998780194,4
Danushka Gunathilaka,Sri Lanka,102,1.0303030303030303,25.5,8.16041512334615,7.75,1,0.02986811481768813,1.2222222222222223,0.8294173782035918,4,5.445986443666713,4
Ajinkya Rahane,India,530,0.8141321044546851,37.857142857142854,5.520738622939159,6.689785701105471,0,0.11182795698924732,0.8387096774193549,-0.007787842174809496,14,5.433004597222576,4
Tom Latham,New Zealand,304,0.7619047619047619,30.4,10.0,7.779231637081267,0,0.031321444901691815,0.7873563218390804,0.2491121024799154,10,5.405597675587907,4
Sam Billings,England,90,1.3235294117647058,22.5,7.266790801339121,10.0,0,0.016566265060240965,1.2222222222222223,-0.9431372741014724,4,5.394264921187499,4
David Miller,South Africa,496,0.9860834990059643,27.555555555555557,8.492026600114938,5.057206875145216,0,0.06943192064923355,1.0596330275229358,-0.05352793928254129,18,5.392054990461007,4
Mitchell Santner,New Zealand,135,1.115702479338843,22.5,10.0,7.415728188340292,0,0.00823045267489712,1.3333333333333333,0.19575564354931213,6,5.3720242708695265,4
Ahmed Shehzad,Pakistan,370,0.7581967213114754,30.833333333333332,3.3537458303909613,7.517884578307405,1,0.15308641975308643,0.8732394366197183,0.4673782249694822,12,5.370297244578237,4
Shane Watson,Australia,286,1.0177935943060499,28.6,7.132983298564889,7.162280140497191,0,0.0826784030179189,1.047808764940239,0.19042373378158897,10,5.356952946843864,3
Tim Southee,New Zealand,66,1.4666666666666666,8.25,10.0,7.145367792516677,0,0.0038866026520347507,1.7,0.12563078356429727,8,5.338799183413351,3
Shoaib Malik,Pakistan,295,1.0766423357664234,32.77777777777778,3.3537458303909613,7.763248758009691,0,0.12510288065843622,1.216,0.8251543262041716,9,5.299241530145235,3
Azhar Ali,Pakistan,536,0.8271604938271605,44.666666666666664,3.3537458303909613,7.016379841580766,0,0.09135802469135802,0.8809523809523809,0.43730447526775346,12,5.199149824215136,3
Mahmudullah,Bangladesh,356,0.775599128540305,39.55555555555556,4.775773092293983,6.443692804336354,1,0.09770742358078603,0.6937984496124031,0.3017451402744651,9,5.193712151363816,3
Farhaan Behardien,South Africa,336,0.9518413597733711,24.0,8.492026600114938,5.082517092805982,0,0.049894800120228434,1.3949579831932772,-0.41672523219053864,14,5.187773135758772,3
Ben Stokes,England,262,1.0115830115830116,26.2,7.266790801339121,8.566491649282446,0,0.03802710843373494,0.8859649122807017,-0.13068762772706047,10,5.1822949679611865,3
Michael Clarke,Australia,172,0.9502762430939227,34.4,7.132983298564889,7.406979915335254,0,0.050298648223828984,0.9815950920245399,0.22582457595836636,5,5.1170139720052665,3
Angelo Mathews,Sri Lanka,343,0.8386308068459658,22.866666666666667,8.16041512334615,6.292915936708977,0,0.06089992242048099,1.0680272108843538,0.50740965734113,15,5.115132729846219,3
Adil Rashid,England,171,1.0426829268292683,19.0,7.266790801339121,7.987297669405613,0,0.030873493975903613,1.3666666666666667,0.4415178987247191,9,5.082015820192655,3
Daniel Vettori,New Zealand,94,1.0804597701149425,10.444444444444445,10.0,6.7972696425470325,0,0.009830818472793781,1.5357142857142858,0.021239070020265444,9,5.064708361361643,3
Henry Nicholls,New Zealand,43,0.8269230769230769,21.5,10.0,8.16041512334615,0,0.005258344764517604,1.0952380952380953,-1.0,2,5.023175405579304,3
James Faulkner,Australia,121,1.3010752688172043,20.166666666666668,7.132983298564889,6.833710795540305,0,0.03803835271927067,1.3010752688172043,-0.17680317108544774,6,4.983788791349824,3
George Bailey,Australia,290,0.7125307125307125,32.22222222222222,7.132983298564889,7.072785003739124,0,0.05972964476579692,0.7450980392156863,0.2603165961144721,9,4.93103186365288,3
Shaun Marsh,Australia,45,0.9375,45.0,7.132983298564889,7.266790801339121,0,0.014146494812951903,0.9375,0.01,1,4.925261564538275,3
James Neesham,New Zealand,41,1.0,41.0,10.0,8.492026600114938,0,0.0,0.0,0.01,1,4.912764780808897,3
Milinda Siriwardana,Sri Lanka,223,1.0825242718446602,24.77777777777778,8.16041512334615,4.307636572439424,0,0.0395655546935609,1.36,0.46542255927226445,9,4.8750340459177375,3
Dinesh Chandimal,Sri Lanka,325,0.8227848101265823,23.214285714285715,8.16041512334615,6.135836603608551,0,0.05702094647013189,0.7461928934010152,0.44544670297095657,14,4.84802157979492,3
Nuwan Kulasekara,Sri Lanka,113,0.7687074829931972,14.125,8.16041512334615,9.811503325014368,0,0.004654771140418929,1.0,-0.2276144463055758,8,4.825453190435946,3
David Wiese,South Africa,34,0.723404255319149,11.333333333333334,8.492026600114938,10.0,0,0.007814848211602044,1.1304347826086956,0.9911683761393424,3,4.820138382529554,3
Kyle Mills,New Zealand,30,1.7647058823529411,15.0,10.0,8.16041512334615,0,0.0,0.0,-1.0,2,4.741587877090763,3
Shahid Afridi,Pakistan,173,1.4913793103448276,28.833333333333332,3.3537458303909613,7.02429142026983,0,0.01810699588477366,1.4666666666666666,-0.2999581619249363,6,4.74031986207389,3
Colin Munro,New Zealand,68,0.8947368421052632,34.0,10.0,8.492026600114938,0,0.0,0.0,-1.0,2,4.73221957075001,3
Sabbir Rahman,Bangladesh,263,1.0038167938931297,29.22222222222222,4.775773092293983,6.595103649660866,0,0.05021834061135371,1.069767441860465,0.23262307676388494,9,4.675184316789958,3
Ben Wheeler,New Zealand,58,1.2340425531914894,14.5,10.0,7.573099751033075,0,0.0006858710562414266,0.5,-0.34182697237851045,4,4.653441879985831,3
George Worker,New Zealand,41,0.6507936507936508,20.5,10.0,8.492026600114938,0,0.004572473708276178,0.5128205128205128,1.0,2,4.593085667353389,3
Mitchell Johnson,Australia,34,1.1333333333333333,6.8,7.132983298564889,7.642947069792709,0,0.010374096196164728,1.434782608695652,0.23503772125506572,5,4.5443911972624225,3
Shakib Al Hasan,Bangladesh,290,0.8169014084507042,26.363636363636363,4.775773092293983,6.472882297950336,0,0.07805676855895197,0.8313953488372093,0.0959811301959858,11,4.525600991931687,3
