batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,consistency,no_of_matches_batsman,batsman_score,batsman_quantile
V Kohli,India,1343,0.9788629737609329,61.04545454545455,10.0,3.878368989875645,3,0.23614857854326624,1.018782584423383,0.021255539289328943,22,10.0,5
RG Sharma,India,1120,1.018181818181818,62.22222222222222,10.0,3.6047060058178775,4,0.19817389499896243,1.0365855559226844,0.015759662012312787,18,9.944790842014024,5
DA Warner,Australia,587,1.0298245614035089,65.22222222222223,4.155460768679217,8.475863451462153,3,0.3112712975098296,1.0978327261119516,0.015778004926411075,9,9.342889875401763,5
F du Plessis,South Africa,879,0.915625,51.705882352941174,8.662839713938807,4.298071207678621,3,0.2023138534559478,0.9727067191582573,0.021770813827993805,17,8.631888208282984,5
Q de Kock,South Africa,923,0.943762781186094,51.27777777777778,8.662839713938807,4.1796059235945044,2,0.21061999406704243,0.9999309062820256,0.023213531831511418,18,8.277580584956356,4
JE Root,England,832,0.9004329004329005,59.42857142857143,7.325930073207967,4.753358775306923,2,0.20362273579013118,0.9065513631445135,0.027854406275853158,14,8.090051600882921,4
AB de Villiers,South Africa,773,1.145185185185185,45.470588235294116,8.662839713938807,4.298071207678621,2,0.1610797982794423,1.1868303752017784,0.024302648344026536,17,7.896650079349648,4
Babar Azam,Pakistan,833,0.7814258911819888,55.53333333333333,7.256554212631874,3.355591210782661,2,0.2409435551811289,0.9527336804601513,0.02633681590378171,15,7.841816976743491,4
HM Amla,South Africa,846,0.8659160696008188,49.76470588235294,8.662839713938807,4.298071207678621,1,0.1969741916345298,0.8787682153655825,0.02333916980895294,17,7.477262497725805,4
JM Bairstow,England,404,0.9596199524940617,67.33333333333333,7.325930073207967,4.81989898776178,2,0.09681449094316052,1.033887181997738,0.021891396182908498,6,7.2086384364520715,4
LRPL Taylor,New Zealand,766,0.7840327533265097,47.875,5.1362534056841165,6.090508653922125,1,0.24170172978027116,0.9023025328374958,0.030120345295593612,16,7.1756228652066,4
BA Stokes,England,514,1.0798319327731092,42.833333333333336,7.325930073207967,5.393207253849468,2,0.13023110555902562,1.1216908029211987,0.03420170285189885,12,7.143112032591187,4
S Dhawan,India,756,1.0013245033112583,39.78947368421053,10.0,3.4246630698628255,1,0.12367711143390744,1.0449322673142094,0.02257772989576271,19,6.932239264277303,4
MM Ali,England,354,1.3937007874015748,32.18181818181818,7.325930073207967,5.792589731472146,2,0.08119925046845722,1.4339152554792918,0.03004529327704205,11,6.832704123347046,4
EJG Morgan,England,589,0.9530744336569579,42.07142857142857,7.325930073207967,5.396215918164066,1,0.13054341036851969,0.927298247584024,0.025245808793725302,14,6.554616383598958,4
Shoaib Malik,Pakistan,485,0.9116541353383458,40.416666666666664,7.256554212631874,3.0838625392354633,2,0.14153327716933445,1.0956692222027105,0.031927666121401,12,6.470938586534151,4
MJ Guptill,New Zealand,358,0.9623655913978495,44.75,5.1362534056841165,7.621595795491165,1,0.1276297335203366,1.1540057274196216,0.017377887771880294,8,6.43810542394306,4
KM Jadhav,India,520,1.1353711790393013,32.5,10.0,4.0416921790889,1,0.0637061631043785,1.2624696956660375,0.028716352780033812,16,6.399579881316068,4
AD Hales,England,438,0.9842696629213483,39.81818181818182,7.325930073207967,5.777002077663358,1,0.12523422860712055,0.9921438511957597,0.027501564195946727,11,6.391174614450071,4
MS Dhoni,India,655,0.8312182741116751,34.473684210526315,10.0,3.746644634184675,1,0.08424984436605105,0.9732653821907556,0.028517975554554924,19,6.307184269785692,4
AM Rahane,India,519,0.7700296735905044,51.9,10.0,2.9793899996952007,1,0.08404233243411496,0.8065086035754143,0.03261852431125028,10,6.2972693367521515,4
MP Stoinis,Australia,338,0.9797101449275363,56.333333333333336,4.155460768679217,8.378751135228038,1,0.009829619921363041,1.6448230668414157,0.021365440436358005,6,6.280220610710236,4
Tamim Iqbal,Bangladesh,440,0.8163265306122449,55.0,2.1656960941645207,5.636222962781684,1,0.24030037546933666,0.9445573200266567,0.019445644829940816,8,6.252385290490608,4
Fakhar Zaman,Pakistan,369,0.9437340153452686,46.125,7.256554212631874,3.5503363959213754,1,0.15543386689132266,1.16635029529192,0.031335636462904146,8,6.247394995321484,4
