batsman,country,total_runs,run_rate,average_score,team_score,opponent_mean,player_of_the_match,winning_contribution,run_rate_effectiveness,consistency,batsman_score,batsman_quantile
RG Sharma,India,1310,0.8762541806020067,59.54545454545455,3.581206965077933,2.5102980865664146,5,0.22682032477737035,0.9702869448809731,0.02099550171846423,5.665811457397271,5
AJ Finch,Australia,1075,0.8593125499600319,48.86363636363637,3.4241371531694114,2.6136326088378876,4,0.22762148337595908,0.9391447978057007,0.02007112217518258,5.1141312441937075,5
V Kohli,India,954,0.9280155642023347,47.7,3.581206965077933,2.4705967124273576,4,0.19119958093242537,0.9814911821197835,0.025371525363410176,4.944078606120057,5
JJ Roy,England,828,1.1645569620253164,75.27272727272727,3.1736080586080586,2.000328942806948,3,0.2138003136434919,1.0555626913598686,0.021969702701004252,4.892706893142065,5
UT Khawaja,Australia,1070,0.8339828526890102,50.95238095238095,3.4241371531694114,2.5869671112297845,2,0.2015810276679842,0.886294962381919,0.028722500364300897,4.630914456324393,4
LRPL Taylor,New Zealand,856,0.8629032258064516,50.35294117647059,2.9073118279569887,2.0157103269911616,2,0.2273945077026122,0.9476293205866556,0.026336382882183387,4.186726490499457,4
JM Bairstow,England,718,1.0345821325648414,44.875,3.1736080586080586,1.800366669620701,3,0.1693674856246733,0.9658977398001171,0.02537616120071512,4.133427230258034,4
GJ Maxwell,Australia,631,1.2903885480572597,30.047619047619047,3.4241371531694114,2.6438449492136127,2,0.10485933503836317,1.5763507297021262,0.038491511472750206,4.107168549902116,4
Babar Azam,Pakistan,914,0.9103585657370518,57.125,1.9791734609476543,2.146981070005264,1,0.26133209990749307,0.9486600993507115,0.028278427642859132,3.9651374150199077,4
KS Williamson,New Zealand,775,0.7495164410058027,48.4375,2.9073118279569887,2.099864006960781,2,0.1942397856664434,0.817119530783295,0.026307326883558437,3.9554202135253407,4
F du Plessis,South Africa,714,0.8803945745992602,54.92307692307692,1.7985702469573437,1.9189209797646523,2,0.2947501581277672,1.0254970848128455,0.030074991792637073,3.945008131790415,4
MJ Guptill,New Zealand,626,0.9660493827160493,36.8235294117647,2.9073118279569887,1.853194673763934,3,0.18921634293369055,1.0690208267741899,0.022059932931320303,3.936115007118853,4
DA Warner,Australia,558,0.8942307692307693,62.0,3.4241371531694114,2.106043818785754,2,0.08625900953266682,0.9583165571251155,0.017454106943648098,3.9301515125021886,4
JC Buttler,England,606,1.3835616438356164,43.285714285714285,3.1736080586080586,1.7520361512527403,2,0.10742289597490852,1.467405250945786,0.021741953427186766,3.892006558102661,4
SO Hetmyer,West Indies,539,1.106776180698152,38.5,0.8532234432234432,2.8565130645084564,2,0.34615384615384615,1.2769598822230401,0.025546561861871427,3.890977318605883,4
AJ Turner,Australia,125,1.3888888888888888,41.666666666666664,3.4241371531694114,3.5812069650779335,1,0.024180423157405255,1.643907872865387,0.02727385431478709,3.8204223522154512,4
Shakib Al Hasan,Bangladesh,645,0.9583952451708767,71.66666666666667,0.6692514474772538,2.1581864491541904,2,0.2648945921173236,1.0614372778876615,0.031219527052723135,3.763376626291124,4
JE Root,England,808,0.9255441008018328,47.529411764705884,3.1736080586080586,1.8108847161693453,1,0.15656037637219028,0.8615806699717987,0.029947439922053745,3.734763983939843,4
S Dhawan,India,470,0.93812375249501,33.57142857142857,3.581206965077933,3.1603608526649998,1,0.07883708748035621,0.9698361235009499,0.022400593313418145,3.700627135986719,4
Q de Kock,South Africa,529,1.0037950664136623,44.083333333333336,1.7985702469573437,1.9138999396660685,2,0.23782416192283365,1.2739544283488373,0.030298077561894756,3.602399415025611,4
MS Dhoni,India,571,0.8168812589413448,40.785714285714285,3.581206965077933,2.7989677680230676,0,0.10529072812991094,0.9794157663627958,0.04347397139165535,3.5781955811997777,4
AT Carey,Australia,605,0.9603174603174603,30.25,3.4241371531694114,2.6770785236269106,1,0.07858637526156707,1.0227455409041089,0.04282960688915833,3.560412926912189,4
CH Gayle,West Indies,659,1.1131756756756757,59.90909090909091,0.8532234432234432,2.658869273444054,0,0.23474801061007958,1.425123749451743,0.019431250775407666,3.51450141622907,4
PSP Handscomb,Australia,483,0.9564356435643564,37.15384615384615,3.4241371531694114,3.0569198171555496,0,0.07765635898628226,1.1158508365379045,0.029876611585021688,3.5068863963061268,4
EJG Morgan,England,634,1.0031645569620253,42.266666666666666,3.1736080586080586,1.8635095513805182,0,0.1338212232096184,1.0054046682879156,0.03260533887507604,3.3499314725048612,4
Haris Sohail,Pakistan,613,0.9358778625954198,47.15384615384615,1.9791734609476543,2.4102415822391015,1,0.11979648473635522,1.1417640273637806,0.02497679516839576,3.3399993803951102,4
BA Stokes,England,633,0.9107913669064748,42.2,3.1736080586080586,1.692115304050787,1,0.09278619968635651,0.9058449325312092,0.029254562395808724,3.3096070850077757,4
Mohammad Rizwan,Pakistan,245,0.8781362007168458,40.833333333333336,1.9791734609476543,2.8822815177653887,0,0.0018501387604070306,4.284921369102682,0.018701010539524412,3.306248514665655,4
KM Jadhav,India,374,0.8968824940047961,26.714285714285715,3.581206965077933,2.560947159599233,1,0.06312205343111577,1.0498459926663173,0.04342192171316672,3.286693368169695,4
AT Rayudu,India,234,0.752411575562701,26.0,3.581206965077933,3.1944370086305565,1,0.060764798323729705,0.8535811872637435,0.03405519712386436,3.2757802814816523,4
KL Rahul,India,485,0.8276450511945392,44.09090909090909,3.581206965077933,1.7843955018588447,0,0.11838658983761131,0.9412073432978735,0.024244359172911175,3.2413878817793758,4
Imam-ul-Haq,Pakistan,718,0.7846994535519126,42.23529411764706,1.9791734609476543,2.3901211565158436,0,0.18270120259019426,0.8670819368829712,0.02449104399317776,3.203269836499332,4
SD Hope,West Indies,730,0.7426246185147508,45.625,0.8532234432234432,2.5831053623795563,1,0.21087533156498675,0.6831297505739696,0.025048185830294452,3.1582078375968554,4
SE Marsh,Australia,461,0.8101933216168717,35.46153846153846,3.4241371531694114,2.6292864166437364,0,0.0639386189258312,0.8090011366865586,0.02548702795326548,3.149297816081525,4
