bowler,country,negative_rate,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,bowler_score
Imran Tahir,South Africa,-0.8390177353342428,25,1.9230769230769231,0.04065040650406504,9,0.9806597835166322,0.7871243122060597,0.12650602409638553,0.2491909385113269,1.0
MA Starc,Australia,-0.7352112676056338,26,2.1666666666666665,0.04980842911877394,11,1.0,0.5097058193427053,0.092,0.2338516746411483,0.9884239927388441
AU Rashid,England,-0.8354792560801144,25,2.0833333333333335,0.04280821917808219,8,0.7822209483970475,0.6274878701982635,0.1743119266055046,0.27941176470588236,0.960378628707339
JW Hastings,Australia,-0.8773234200743495,29,1.9333333333333333,0.04096045197740113,8,1.0,0.6885347830921901,0.076,0.265625,0.9598485504675021
A Zampa,Australia,-0.8918345705196182,30,1.5789473684210527,0.0356718192627824,10,1.0,0.6316015017480134,0.08,0.2236842105263158,0.9562925125852313
JR Hazlewood,Australia,-0.8047904191616766,26,1.7333333333333334,0.03869047619047619,11,1.0,0.5807561137026128,0.084,0.21351674641148327,0.9544184974844201
CA Soper,Papua New Guinea,-0.7777777777777778,9,4.5,0.10714285714285714,1,0.35380305724034034,0.3484584967684489,0.3,0.6,0.9379391334895024
K Rabada,South Africa,-0.9134487350199734,22,1.5714285714285714,0.03206997084548105,10,0.9806597835166322,0.730901147048484,0.1144578313253012,0.2029126213592233,0.928414465077958
JP Faulkner,Australia,-0.9087719298245615,24,1.5,0.03088803088803089,12,1.0,0.6150973540649265,0.076,0.17708333333333331,0.9176394748037582
JJ Bumrah,India,-0.6170212765957447,17,2.125,0.06513409961685823,7,0.8185997175913107,0.49670199715164487,0.16279069767441862,0.21212121212121213,0.8784532774662059
TA Boult,New Zealand,-0.8723404255319149,25,1.9230769230769231,0.038109756097560975,7,0.5931142265399452,0.7680713858956706,0.10828025477707007,0.24558587479935792,0.8589017896187416
