bowler,country,inverse_economy,no_of_wickets,wickets_per_match,wickets_per_run,no_of_wins,team_score,opponent_mean,winning_contribution,winning_wicket_rate_contribution,no_of_matches_bowler,bowler_score,bowler_quantile
Kuldeep Yadav,India,0.21138888888888888,41.0,2.411764705882353,0.05694444444444444,12,9.871368852058248,4.549475152546809,0.2743362831858407,0.29719764011799416,17,9.999999999999998,5
Adil Rashid,England,0.1876155268022181,40.0,1.8181818181818181,0.036968576709796676,17,10.000000000000002,4.040410001015403,0.25757575757575757,0.25757575757575757,22,9.522196430800545,5
Dushmantha Chameera,Sri Lanka,0.4418604651162791,7.0,2.3333333333333335,0.16279069767441862,3,4.556830402876305,6.73199061428695,0.16279069767441862,0.2713178294573644,3,8.646576570461548,4
Moeen Ali,England,0.19860813704496788,29.0,1.3181818181818181,0.031049250535331904,17,10.000000000000002,4.040410001015403,0.19696969696969696,0.19696969696969696,22,8.299230069659325,4
Yuzvendra Chahal,India,0.2057909604519774,26.0,1.625,0.03672316384180791,11,9.871368852058248,4.721733886368287,0.19469026548672566,0.23008849557522126,16,8.036452193787325,4
Akila Dananjaya,Sri Lanka,0.18884381338742393,26.0,2.1666666666666665,0.05273833671399594,4,4.556830402876305,6.958814605295505,0.3023255813953488,0.37790697674418605,12,8.022306729333689,4
Jasprit Bumrah,India,0.27459016393442626,22.0,1.6923076923076923,0.060109289617486336,11,9.871368852058248,3.5036724755301965,0.1504424778761062,0.17779565567176187,13,7.891853836812313,4
Shaheen Shah Afridi,Pakistan,0.19109947643979058,11.0,2.2,0.05759162303664921,1,1.0,6.019042207160787,0.5,0.5,5,7.3875466639894505,4
Shardul Thakur,India,0.1796116504854369,5.0,2.5,0.04854368932038835,1,9.871368852058248,7.3309803420685205,0.035398230088495575,0.4601769911504425,2,7.371195013286252,4
Chris Woakes,England,0.19486166007905137,19.0,1.5833333333333333,0.037549407114624504,9,10.000000000000002,3.767948684400645,0.11363636363636363,0.21464646464646467,12,6.947141638599128,4
Lungi Ngidi,South Africa,0.16660649819494586,22.0,2.0,0.039711191335740074,6,4.661960684137039,5.6785587677252956,0.2549019607843137,0.2549019607843137,11,6.871499877461478,4
Liam Plunkett,England,0.1654462242562929,17.0,1.5454545454545454,0.038901601830663615,9,10.000000000000002,4.114310813752528,0.12121212121212122,0.22895622895622894,11,6.8626704309572615,4
Shehan Madushanka,Sri Lanka,0.23461538461538461,3.0,3.0,0.11538461538461539,1,4.556830402876305,5.097985921430424,0.06976744186046512,0.3488372093023256,1,6.798117033454984,4
Trent Boult,New Zealand,0.16855345911949687,22.0,1.8333333333333333,0.03459119496855346,7,5.04195208743842,4.75,0.23880597014925373,0.27292110874200426,12,6.72830086952556,4
Mashrafe Mortaza,Bangladesh,0.2224622030237581,20.0,1.5384615384615385,0.04319654427645788,7,5.097985921430424,3.8253901372338963,0.25862068965517243,0.2586206896551724,13,6.657748593118816,4
Mustafizur Rahman,Bangladesh,0.22180293501048218,21.0,1.6153846153846154,0.0440251572327044,7,5.097985921430424,3.8253901372338963,0.22413793103448276,0.22413793103448273,13,6.506880012936682,4
Tom Curran,England,0.15894039735099338,17.0,1.7,0.037527593818984545,6,10.000000000000002,4.204781792931438,0.08333333333333333,0.2361111111111111,10,6.502639828745542,4
David Willey,England,0.19623655913978494,13.0,1.3,0.03494623655913978,8,10.000000000000002,4.761692643978498,0.09090909090909091,0.19318181818181818,10,6.429525368296566,4
Kagiso Rabada,South Africa,0.1970149253731343,18.0,1.5,0.033582089552238806,6,4.661960684137039,6.027959608086374,0.19607843137254902,0.19607843137254902,12,6.123103135798594,4
Ravindra Jadeja,India,0.21644295302013422,11.0,1.5714285714285714,0.03691275167785235,6,9.871368852058248,2.6241876412104976,0.09734513274336283,0.21091445427728614,7,6.046141073001169,4
Andrew Tye,Australia,0.16301020408163264,12.0,1.7142857142857142,0.030612244897959183,1,1.5837831417466806,10.000000000000002,0.16666666666666666,0.3333333333333333,7,5.836298372355022,4
Mehidy Hasan Miraz,Bangladesh,0.25839793281653745,14.0,1.2727272727272727,0.03617571059431524,6,5.097985921430424,3.6924009980261867,0.1896551724137931,0.22126436781609193,11,5.81730210392551,4
Lockie Ferguson,New Zealand,0.19438775510204082,19.0,2.111111111111111,0.04846938775510204,6,5.04195208743842,2.0,0.14925373134328357,0.19900497512437812,9,5.801080955491996,4
Andile Phehlukwayo,South Africa,0.15531914893617021,15.0,1.3636363636363635,0.031914893617021274,5,4.661960684137039,6.702252674219949,0.17647058823529413,0.21176470588235294,11,5.71431830637394,4
Dale Steyn,South Africa,0.2872340425531915,7.0,2.3333333333333335,0.07446808510638298,2,4.661960684137039,1.5837831417466806,0.09803921568627451,0.29411764705882354,3,5.7056453316160125,4
Mark Wood,England,0.17888563049853373,12.0,0.8,0.017595307917888565,11,10.000000000000002,4.131137223689316,0.07575757575757576,0.11707988980716254,15,5.681907062658267,4
Bhuvneshwar Kumar,India,0.188911704312115,11.0,0.8461538461538461,0.022587268993839837,10,9.871368852058248,3.9142908844427327,0.08849557522123894,0.11504424778761063,13,5.631789725313754,4
Rubel Hossain,Bangladesh,0.19631336405529953,19.0,1.7272727272727273,0.04377880184331797,6,5.097985921430424,3.9436278154328352,0.1206896551724138,0.14080459770114942,11,5.6170598880957705,4
Ish Sodhi,New Zealand,0.16243386243386243,12.0,1.7142857142857142,0.031746031746031744,3,5.04195208743842,6.142857142857144,0.1044776119402985,0.27860696517412936,7,5.559549438448778,4
Pat Cummins,Australia,0.21052631578947367,8.0,1.3333333333333333,0.03007518796992481,2,1.5837831417466806,7.330980342068521,0.2777777777777778,0.2777777777777778,6,5.42411412272481,4
Josh Hazlewood,Australia,0.2007042253521127,8.0,1.3333333333333333,0.028169014084507043,2,1.5837831417466806,7.330980342068521,0.2777777777777778,0.2777777777777778,6,5.3576314343182565,4
Matt Henry,New Zealand,0.18867924528301888,5.0,2.5,0.04716981132075472,1,5.04195208743842,1.0,0.05970149253731343,0.47761194029850745,2,5.333826528994083,4
Khaleel Ahmed,India,0.1871345029239766,7.0,1.75,0.04093567251461988,3,9.871368852058248,1.7933354114031586,0.05309734513274336,0.23008849557522126,4,5.317067609486138,4
Marlon Samuels,West Indies,0.15402298850574714,4.0,1.0,0.04597701149425287,1,1.7933354114031586,8.678023119401292,0.13636363636363635,0.4090909090909091,4,5.1314425373511305,4
Kedar Jadhav,India,0.23684210526315788,5.0,1.0,0.043859649122807015,5,9.871368852058248,3.2843814579409005,0.04424778761061947,0.11504424778761063,5,5.109930889510206,3
Obed McCoy,West Indies,0.12844036697247707,4.0,2.0,0.03669724770642202,1,1.7933354114031586,9.871368852058248,0.09090909090909091,0.27272727272727276,2,5.093551921656552,3
Tabraiz Shamsi,South Africa,0.20245098039215684,6.0,1.2,0.029411764705882353,3,4.661960684137039,6.682645782549082,0.11764705882352941,0.23529411764705882,5,5.076555870429624,3
Oshane Thomas,West Indies,0.13725490196078433,6.0,1.5,0.029411764705882353,1,1.7933354114031586,7.484677386744336,0.13636363636363635,0.4090909090909091,4,5.019881599227731,3
Tim Southee,New Zealand,0.19160305343511452,11.0,0.9166666666666666,0.02099236641221374,8,5.04195208743842,4.75,0.14925373134328357,0.14925373134328357,12,5.005723071006004,3
Suranga Lakmal,Sri Lanka,0.18384401114206128,10.0,1.1111111111111112,0.027855153203342618,4,4.556830402876305,4.855749678489655,0.16279069767441862,0.20348837209302326,9,4.863830234656905,3
Thisara Perera,Sri Lanka,0.16098191214470284,14.0,1.2727272727272727,0.03617571059431524,5,4.556830402876305,6.276344220206351,0.09302325581395349,0.0930232558139535,11,4.862591173585962,3
Lasith Malinga,Sri Lanka,0.21518987341772153,9.0,1.8,0.056962025316455694,0,4.556830402876305,9.019597184286086,0.0,0.0,5,4.793032027633501,3
Mitchell Santner,New Zealand,0.20798898071625344,8.0,0.8888888888888888,0.02203856749311295,6,5.04195208743842,6.000000000000001,0.1044776119402985,0.13930348258706468,9,4.788656992678833,3
Marcus Stoinis,Australia,0.15627615062761507,13.0,1.1818181818181819,0.027196652719665274,2,1.5837831417466806,8.54417109567374,0.16666666666666666,0.16666666666666666,11,4.715620370100538,3
Hardik Pandya,India,0.17878787878787877,5.0,0.5,0.012626262626262626,7,9.871368852058248,5.897176410482226,0.02654867256637168,0.0493046776232617,10,4.630875759490254,3
Dwaine Pretorius,South Africa,0.21505376344086022,5.0,2.5,0.053763440860215055,1,4.661960684137039,1.5837831417466806,0.0392156862745098,0.23529411764705882,2,4.63076948224335,3
Liam Dawson,England,0.23076923076923078,1.0,1.0,0.038461538461538464,1,10.000000000000002,4.556830402876305,0.007575757575757576,0.12878787878787878,1,4.6244572197983675,3
Mitchell Starc,Australia,0.1630170316301703,11.0,1.5714285714285714,0.0267639902676399,1,1.5837831417466806,7.712268864630161,0.1111111111111111,0.2222222222222222,7,4.616915925192606,3
