country,win_ratio,effective_win_by_runs,effective_win_by_wickets,matches_played,win_count,score,rank
India,0.72,361,55,25,18,3.670251386267903,1
South Africa,0.7222222222222222,728,27,18,13,3.329951690821256,2
England,0.7647058823529411,591,17,17,13,3.161750542658971,3
Pakistan,0.6875,134,35,16,11,2.9050645785677363,4
New Zealand,0.5555555555555556,229,-4,18,10,2.5070193779448093,5
Afghanistan,0.5,265,-11,12,6,2.129179942126262,6
Australia,0.45454545454545453,176,-11,11,5,1.971015932492736,7
Hong Kong,0.6666666666666666,23,1,3,2,1.9198927701720998,8
Zimbabwe,0.5714285714285714,-51,0,7,4,1.9138056772256433,9
Ireland,0.4,-392,0,15,6,1.8257861696773525,10
United Arab Emirates,0.5,-8,2,6,3,1.8226599379623425,11
Bangladesh,0.36363636363636365,-284,-13,11,4,1.5475502609823717,12
Papua New Guinea,0.3333333333333333,-100,0,3,1,1.398121431640985,13
Sri Lanka,0.19230769230769232,-789,-50,26,5,1.3098281415857693,14
West Indies,0.17647058823529413,-883,-31,17,3,1.0204172638955247,15
Scotland,0.0,0,-17,3,0,0.8623924802695753,16
