match_id,innings,team,opponent,ball,batsman,non_striker,bowler,scored_runs,extras,total,extra_type,wicket,wicket_type,player_out,fielders,winner
548351,1st innings,Mumbai Indians,Pune Warriors,0.1,JEC Franklin,SR Tendulkar,M Kartik,0,0,0,NA,0,NA,NA,NA,1
548351,1st innings,Mumbai Indians,Pune Warriors,0.2,JEC Franklin,SR Tendulkar,M Kartik,2,0,2,NA,0,NA,NA,NA,1
548351,1st innings,Mumbai Indians,Pune Warriors,0.3,JEC Franklin,SR Tendulkar,M Kartik,1,0,1,NA,0,NA,NA,NA,1
548351,1st innings,Mumbai Indians,Pune Warriors,0.4,SR Tendulkar,JEC Franklin,M Kartik,0,0,0,NA,0,NA,NA,NA,1
548351,1st innings,Mumbai Indians,Pune Warriors,0.5,SR Tendulkar,JEC Franklin,M Kartik,1,0,1,NA,0,NA,NA,NA,1
548351,1st innings,Mumbai Indians,Pune Warriors,0.6,JEC Franklin,SR Tendulkar,M Kartik,0,0,0,NA,0,NA,NA,NA,1
548351,1st innings,Mumbai Indians,Pune Warriors,1.1,SR Tendulkar,JEC Franklin,AB Dinda,0,0,0,NA,0,NA,NA,NA,1
548351,1st innings,Mumbai Indians,Pune Warriors,1.2,SR Tendulkar,JEC Franklin,AB Dinda,0,0,0,NA,0,NA,NA,NA,1
548351,1st innings,Mumbai Indians,Pune Warriors,1.3,SR Tendulkar,JEC Franklin,AB Dinda,0,0,0,NA,0,NA,NA,NA,1
548351,1st innings,Mumbai Indians,Pune Warriors,1.4,SR Tendulkar,JEC Franklin,AB Dinda,0,0,0,NA,0,NA,NA,NA,1
548351,1st innings,Mumbai Indians,Pune Warriors,1.5,SR Tendulkar,JEC Franklin,AB Dinda,0,0,0,NA,0,NA,NA,NA,1
548351,1st innings,Mumbai Indians,Pune Warriors,1.6,SR Tendulkar,JEC Franklin,AB Dinda,0,0,0,NA,0,NA,NA,NA,1
548351,1st innings,Mumbai Indians,Pune Warriors,2.1,JEC Franklin,SR Tendulkar,WD Parnell,0,0,0,NA,0,NA,NA,NA,1
548351,1st innings,Mumbai Indians,Pune Warriors,2.2,JEC Franklin,SR Tendulkar,WD Parnell,1,0,1,NA,0,NA,NA,NA,1
