match_id,date,location,first_innings,second_innings,winner,win_by,win_dif,toss_winner,player_of_match
335982,2008-04-18,Bangalore,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,runs,140,Royal Challengers Bangalore,BB McCullum
335983,2008-04-19,Chandigarh,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,runs,33,Chennai Super Kings,MEK Hussey
335984,2008-04-19,Delhi,Rajasthan Royals,Delhi Daredevils,Delhi Daredevils,wickets,9,Rajasthan Royals,MF Maharoof
335986,2008-04-20,Kolkata,Deccan Chargers,Kolkata Knight Riders,Kolkata Knight Riders,wickets,5,Deccan Chargers,DJ Hussey
335985,2008-04-20,Mumbai,Mumbai Indians,Royal Challengers Bangalore,Royal Challengers Bangalore,wickets,5,Mumbai Indians,MV Boucher
335987,2008-04-21,Jaipur,Kings XI Punjab,Rajasthan Royals,Rajasthan Royals,wickets,6,Kings XI Punjab,SR Watson
335988,2008-04-22,Hyderabad,Deccan Chargers,Delhi Daredevils,Delhi Daredevils,wickets,9,Deccan Chargers,V Sehwag
335989,2008-04-23,Chennai,Chennai Super Kings,Mumbai Indians,Chennai Super Kings,runs,6,Mumbai Indians,ML Hayden
335990,2008-04-24,Hyderabad,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,wickets,3,Rajasthan Royals,YK Pathan
335991,2008-04-25,Chandigarh,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,runs,66,Mumbai Indians,KC Sangakkara
335993,2008-04-26,Chennai,Kolkata Knight Riders,Chennai Super Kings,Chennai Super Kings,wickets,9,Kolkata Knight Riders,JDP Oram
335992,2008-04-26,Bangalore,Royal Challengers Bangalore,Rajasthan Royals,Rajasthan Royals,wickets,7,Rajasthan Royals,SR Watson
335994,2008-04-27,Mumbai,Mumbai Indians,Deccan Chargers,Deccan Chargers,wickets,10,Deccan Chargers,AC Gilchrist
335995,2008-04-27,Chandigarh,Delhi Daredevils,Kings XI Punjab,Kings XI Punjab,wickets,4,Delhi Daredevils,SM Katich
335996,2008-04-28,Bangalore,Chennai Super Kings,Royal Challengers Bangalore,Chennai Super Kings,runs,13,Chennai Super Kings,MS Dhoni
335997,2008-04-29,Kolkata,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,wickets,7,Kolkata Knight Riders,ST Jayasuriya
335998,2008-04-30,Delhi,Delhi Daredevils,Royal Challengers Bangalore,Delhi Daredevils,runs,10,Royal Challengers Bangalore,GD McGrath
335999,2008-05-01,Hyderabad,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,wickets,7,Kings XI Punjab,SE Marsh
336000,2008-05-01,Jaipur,Rajasthan Royals,Kolkata Knight Riders,Rajasthan Royals,runs,45,Rajasthan Royals,SA Asnodkar
336001,2008-05-02,Chennai,Chennai Super Kings,Delhi Daredevils,Delhi Daredevils,wickets,8,Chennai Super Kings,V Sehwag
336034,2008-05-03,Bangalore,Royal Challengers Bangalore,Deccan Chargers,Royal Challengers Bangalore,runs,3,Deccan Chargers,P Kumar
336003,2008-05-03,Chandigarh,Kings XI Punjab,Kolkata Knight Riders,Kings XI Punjab,runs,9,Kings XI Punjab,IK Pathan
336004,2008-05-04,Mumbai,Mumbai Indians,Delhi Daredevils,Mumbai Indians,runs,29,Delhi Daredevils,SM Pollock
336005,2008-05-04,Jaipur,Chennai Super Kings,Rajasthan Royals,Rajasthan Royals,wickets,8,Chennai Super Kings,Sohail Tanvir
336006,2008-05-05,Bangalore,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,wickets,6,Kings XI Punjab,S Sreesanth
336007,2008-05-06,Chennai,Chennai Super Kings,Deccan Chargers,Deccan Chargers,wickets,7,Deccan Chargers,AC Gilchrist
336008,2008-05-07,Mumbai,Rajasthan Royals,Mumbai Indians,Mumbai Indians,wickets,7,Mumbai Indians,A Nehra
336009,2008-05-08,Delhi,Delhi Daredevils,Chennai Super Kings,Chennai Super Kings,wickets,4,Chennai Super Kings,MS Dhoni
336010,2008-05-08,Kolkata,Kolkata Knight Riders,Royal Challengers Bangalore,Kolkata Knight Riders,runs,5,Kolkata Knight Riders,SC Ganguly
336011,2008-05-09,Jaipur,Deccan Chargers,Rajasthan Royals,Rajasthan Royals,wickets,8,Rajasthan Royals,YK Pathan
336013,2008-05-10,Chennai,Chennai Super Kings,Kings XI Punjab,Chennai Super Kings,runs,18,Kings XI Punjab,L Balaji
336014,2008-05-11,Hyderabad,Kolkata Knight Riders,Deccan Chargers,Kolkata Knight Riders,runs,23,Kolkata Knight Riders,SC Ganguly
336015,2008-05-11,Jaipur,Delhi Daredevils,Rajasthan Royals,Rajasthan Royals,wickets,3,Rajasthan Royals,SR Watson
336016,2008-05-12,Chandigarh,Royal Challengers Bangalore,Kings XI Punjab,Kings XI Punjab,wickets,9,Royal Challengers Bangalore,SE Marsh
336017,2008-05-13,Kolkata,Kolkata Knight Riders,Delhi Daredevils,Kolkata Knight Riders,runs,23,Kolkata Knight Riders,Shoaib Akhtar
336018,2008-05-14,Mumbai,Chennai Super Kings,Mumbai Indians,Mumbai Indians,wickets,9,Mumbai Indians,ST Jayasuriya
336020,2008-05-15,Delhi,Delhi Daredevils,Deccan Chargers,Delhi Daredevils,runs,12,Deccan Chargers,A Mishra
336021,2008-05-16,Mumbai,Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,wickets,8,Mumbai Indians,SM Pollock
336023,2008-05-17,Jaipur,Rajasthan Royals,Royal Challengers Bangalore,Rajasthan Royals,runs,65,Royal Challengers Bangalore,GC Smith
336024,2008-05-18,Hyderabad,Mumbai Indians,Deccan Chargers,Mumbai Indians,runs,25,Deccan Chargers,DJ Bravo
336026,2008-05-19,Bangalore,Royal Challengers Bangalore,Delhi Daredevils,Delhi Daredevils,wickets,5,Delhi Daredevils,SP Goswami
336027,2008-05-20,Kolkata,Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,wickets,6,Rajasthan Royals,YK Pathan
336028,2008-05-21,Mumbai,Kings XI Punjab,Mumbai Indians,Kings XI Punjab,runs,1,Mumbai Indians,SE Marsh
336029,2008-05-21,Chennai,Royal Challengers Bangalore,Chennai Super Kings,Royal Challengers Bangalore,runs,14,Royal Challengers Bangalore,A Kumble
336031,2008-05-23,Chandigarh,Deccan Chargers,Kings XI Punjab,Kings XI Punjab,wickets,6,Kings XI Punjab,SE Marsh
