match_id,team_statistics,batsman_1,batsman_1_runs,batsman_2,batsman_2_runs,batsman_3,batsman_3_runs,batsman_4,batsman_4_runs,batsman_5,batsman_5_runs,batsman_6,batsman_6_runs,batsman_7,batsman_7_runs,batsman_8,batsman_8_runs,batsman_9,batsman_9_runs,batsman_10,batsman_10_runs,batsman_11,batsman_11_runs,bowler_1,bowler_1_wickets,bowler_2,bowler_2_wickets,bowler_3,bowler_3_wickets,bowler_4,bowler_4_wickets,bowler_5,bowler_5_wickets,bowler_6,bowler_6_wickets,bowler_7,bowler_7_wickets,bowler_8,bowler_8_wickets,bowler_9,bowler_9_wickets,bowler_10,bowler_10_wickets,bowler_11,bowler_11_wickets,total_run,total_wickets
335982,Kolkata Knight Riders,SC Ganguly,10,BB McCullum,158,RT Ponting,20,DJ Hussey,12,Mohammad Hafeez,5,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,AB Dinda,2,I Sharma,1,AB Agarkar,3,SC Ganguly,2,LR Shukla,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,222,10
335982,Royal Challengers Bangalore,R Dravid,2,W Jaffer,6,V Kohli,1,JH Kallis,8,CL White,6,MV Boucher,7,B Akhil,0,AA Noffke,9,P Kumar,18,Z Khan,3,SB Joshi,3,P Kumar,0,Z Khan,1,AA Noffke,1,JH Kallis,1,SB Joshi,0,CL White,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,82,3
335983,Chennai Super Kings,PA Patel,15,ML Hayden,25,MEK Hussey,116,MS Dhoni,2,SK Raina,32,JDP Oram,13,S Badrinath,31,not_batted,0,not_batted,0,not_batted,0,not_batted,0,JDP Oram,0,MS Gony,1,M Muralitharan,1,P Amarnath,1,Joginder Sharma,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,240,4
335983,Kings XI Punjab,K Goel,24,JR Hopes,71,KC Sangakkara,54,Yuvraj Singh,23,SM Katich,21,IK Pathan,3,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,B Lee,1,S Sreesanth,0,JR Hopes,1,IK Pathan,2,K Goel,0,PP Chawla,0,WA Mota,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,207,5
335984,Rajasthan Royals,T Kohli,7,YK Pathan,10,SR Watson,21,M Kaif,9,DS Lehmann,1,RA Jadeja,29,M Rawat,2,D Salunkhe,26,SK Warne,14,SK Trivedi,3,not_batted,0,MM Patel,0,SR Watson,1,SK Trivedi,0,SK Warne,0,YK Pathan,0,D Salunkhe,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,129,1
335984,Delhi Daredevils,G Gambhir,58,V Sehwag,12,S Dhawan,52,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,GD McGrath,1,B Geeves,0,MF Maharoof,2,R Bhatia,2,DL Vettori,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,132,8
335986,Deccan Chargers,AC Gilchrist,23,Y Venugopal Rao,14,VVS Laxman,0,A Symonds,32,RG Sharma,0,SB Styris,6,AS Yadav,10,SB Bangar,14,WPUJC Vaas,0,RP Singh,1,not_batted,0,WPUJC Vaas,2,RP Singh,1,SB Styris,0,SB Bangar,0,A Symonds,0,PP Ojha,2,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,110,5
335986,Kolkata Knight Riders,WP Saha,10,BB McCullum,5,RT Ponting,0,SC Ganguly,14,DJ Hussey,38,Mohammad Hafeez,13,LR Shukla,4,not_batted,0,not_batted,0,not_batted,0,not_batted,0,AB Dinda,1,I Sharma,1,AB Agarkar,2,M Kartik,3,Mohammad Hafeez,1,DJ Hussey,1,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,112,10
335985,Mumbai Indians,L Ronchi,8,ST Jayasuriya,29,DJ Thornely,0,RV Uthappa,48,PR Shah,19,AM Nayar,20,SM Pollock,28,Harbhajan Singh,2,not_batted,0,not_batted,0,not_batted,0,A Nehra,1,SM Pollock,0,DS Kulkarni,1,ST Jayasuriya,1,Harbhajan Singh,2,AM Nayar,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,165,5
335985,Royal Challengers Bangalore,S Chanderpaul,16,R Dravid,32,LRPL Taylor,23,JH Kallis,25,V Kohli,23,MV Boucher,39,B Akhil,3,not_batted,0,not_batted,0,not_batted,0,not_batted,0,P Kumar,1,Z Khan,3,JH Kallis,0,R Vinay Kumar,0,B Akhil,2,SB Joshi,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,166,7
335987,Kings XI Punjab,K Goel,26,JR Hopes,16,KC Sangakkara,20,DPMD Jayawardene,2,Yuvraj Singh,57,IK Pathan,12,S Sohal,4,B Lee,0,PP Chawla,24,WA Mota,1,not_batted,0,B Lee,1,S Sreesanth,1,JR Hopes,1,IK Pathan,1,PP Chawla,0,WA Mota,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,166,4
335987,Rajasthan Royals,M Kaif,5,YK Pathan,7,Kamran Akmal,15,SR Watson,76,DS Lehmann,17,RA Jadeja,36,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,MM Patel,1,SR Watson,0,SK Trivedi,2,SK Warne,3,D Salunkhe,1,Pankaj Singh,0,YK Pathan,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,168,8
335988,Deccan Chargers,AC Gilchrist,8,Y Venugopal Rao,14,VVS Laxman,2,A Symonds,12,RG Sharma,66,Shahid Afridi,2,SB Bangar,8,AS Yadav,12,WPUJC Vaas,12,RP Singh,1,not_batted,0,WPUJC Vaas,0,RP Singh,1,SB Bangar,0,Shahid Afridi,0,A Symonds,0,PP Ojha,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,142,1
335988,Delhi Daredevils,G Gambhir,12,V Sehwag,94,S Dhawan,25,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,not_batted,0,GD McGrath,0,Mohammad Asif,2,MF Maharoof,2,VY Mahesh,1,R Bhatia,2,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,143,8
335989,Chennai Super Kings,PA Patel,14,ML Hayden,81,MEK Hussey,5,SK Raina,53,MS Dhoni,30,JDP Oram,5,S Badrinath,2,not_batted,0,not_batted,0,not_batted,0,not_batted,0,JDP Oram,0,MS Gony,1,Joginder Sharma,2,P Amarnath,1,M Muralitharan,2,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,not_bowled,0,208,7
335989,Mumbai Indians,L Ronchi,2,ST Jayasuriya,20,RV Uthappa,43,SM Pollock,17,DJ Bravo,24,AM Nayar,45,MA Khote,9,Harbhajan Singh,28,A Nehra,1,not_batted,0,not_batted,0,SM Pollock,0,A Nehra,1,DS Kulkarni,1,Harbhajan Singh,0,DJ Bravo,0,VS Yeligati,0,AM Nayar,0,MA Khote,2,not_bowled,0,not_bowled,0,not_bowled,0,202,5
