team,opponent,location,opponent_trend_predict,location_trend_predict,current_trend_predict,runs_scored
South Africa,Pakistan,Port Elizabeth,263.3,327.1,277.7052631578947,266
New Zealand,India,Napier,270.8,367.2,296.521052631579,157
Pakistan,South Africa,Centurion,195.8,220.8,235.43684210526314,317
India,New Zealand,Mount Maunganui,325.20000000000005,349.3013605638685,288.9947368421053,324
South Africa,Pakistan,Johannesburg,245.7,420.8,262.3421052631579,164
New Zealand,India,Mount Maunganui,167.30000000000004,363.9,278.1263157894737,243
Pakistan,South Africa,Cape Town,276.79999999999995,250.33333333333331,251.53684210526316,240
India,New Zealand,Hamilton,345.6,433.99999999999994,295.0052631578948,92
India,New Zealand,Wellington,167.40000000000003,283.6320217024884,252.8578947368421,252
Bangladesh,New Zealand,Napier,250.5,261.10474375770815,229.8263157894737,232
Bangladesh,New Zealand,Christchurch,233.70000000000002,255.8312339199541,233.6842105263158,226
New Zealand,Bangladesh,Dunedin,240.3,207.6666666666667,278.38947368421054,330
England,West Indies,St George's,372.9,294.5885917740031,311.62105263157895,418
Australia,India,Hyderabad (Deccan),232.79999999999998,410.0,229.43157894736842,236
England,West Indies,Gros Islet,433.70000000000005,136.00000000000003,338.3157894736842,113
Sri Lanka,South Africa,Johannesburg,356.5,162.0,265.4842105263158,231
India,Australia,Nagpur,246.70000000000002,284.3,242.90526315789472,250
South Africa,Sri Lanka,Centurion,357.20000000000005,124.19999999999996,225.4631578947368,251
Australia,India,Ranchi,237.8,255.1259231457567,233.5578947368421,313
India,Australia,Mohali,229.49999999999997,385.4,245.78947368421052,358
South Africa,Sri Lanka,Durban,256.9,285.40000000000003,224.21052631578948,331
Australia,India,Delhi,269.40000000000003,254.57792437938537,242.1263157894737,272
Australia,Pakistan,Dubai (DSC),305.1,385.9999999999999,245.5315789473684,327
England,Pakistan,Southampton,259.9,355.80000000000007,299.5842105263158,373
Pakistan,England,Bristol,259.5,279.9353166651598,247.53684210526313,358
Pakistan,England,Nottingham,350.9,263.3333333333333,263.5684210526316,340
England,Pakistan,Leeds,277.90000000000003,378.7,319.44736842105266,351
England,South Africa,The Oval,226.8,262.3,335.47368421052636,311
Pakistan,West Indies,Nottingham,293.9,347.5,273.84736842105264,105
Bangladesh,South Africa,The Oval,242.5,419.99999999999994,235.3263157894737,330
Pakistan,England,Nottingham,371.29999999999995,184.0,239.9421052631579,348
South Africa,India,Southampton,81.69999999999996,310.1125726944865,242.49473684210525,227
Bangladesh,New Zealand,The Oval,209.4,414.99999999999994,242.02631578947367,244
England,Bangladesh,Cardiff,244.29999999999998,281.3,342.2684210526316,386
India,Australia,The Oval,315.7,407.99999999999994,265.16315789473686,352
West Indies,England,Southampton,351.6000000000001,307.0,246.23684210526315,212
India,Pakistan,Manchester,346.70000000000005,197.0,282.9526315789473,336
West Indies,Bangladesh,Taunton,199.5,334.5888740498508,238.23157894736843,321
South Africa,New Zealand,Birmingham,273.3,205.5,236.5157894736842,241
New Zealand,West Indies,Manchester,204.20000000000002,228.04179791848927,288.0842105263158,291
Pakistan,South Africa,Lord's,297.29999999999995,267.1,263.6,308
New Zealand,Pakistan,Birmingham,202.70000000000002,257.23493421990906,297.5315789473684,237
India,West Indies,Manchester,350.9,367.3333333333333,295.77894736842103,268
England,India,Birmingham,303.20000000000005,307.5,343.86842105263156,337
Sri Lanka,West Indies,Chester-le-Street,342.6,150.00000000000003,232.5,338
India,Bangladesh,Birmingham,287.9,267.5,287.7631578947369,314
England,New Zealand,Chester-le-Street,290.0,376.99999999999994,350.1684210526316,305
Pakistan,Bangladesh,Lord's,269.70000000000005,341.19999999999993,275.7263157894737,315
Sri Lanka,India,Leeds,224.4,252.33333333333334,255.40526315789475,264
South Africa,Australia,Manchester,360.79999999999995,246.20719006107774,232.6,325
New Zealand,India,Manchester,178.89999999999998,341.0,279.93684210526317,239
Australia,England,Birmingham,263.1,295.0,323.8105263157895,223
Sri Lanka,Bangladesh,Colombo (RPS),282.3,370.29999999999995,264.0315789473684,314
Bangladesh,Sri Lanka,Colombo (RPS),199.80000000000004,96.00000000000001,237.8736842105263,238
Sri Lanka,Bangladesh,Colombo (RPS),268.9,355.0,278.7736842105263,294
India,West Indies,Port of Spain,290.1,263.79999999999995,303.0368421052632,279
West Indies,India,Port of Spain,193.0,268.70000000000005,252.03157894736842,240
Pakistan,Sri Lanka,Karachi,314.9,304.8,284.0421052631579,305
Sri Lanka,Pakistan,Karachi,39.700000000000045,232.5,283.7894736842105,297
India,Australia,Mumbai,372.99999999999994,335.0,317.33157894736837,255
India,Australia,Rajkot,325.8,441.0,315.1578947368421,340
Australia,India,Bengaluru,279.1,321.0,307.0263157894737,286
New Zealand,India,Auckland,217.1,234.0,275.36315789473684,273
West Indies,Sri Lanka,Colombo (SSC),230.3,168.00000000000006,255.84736842105264,289
Sri Lanka,West Indies,Hambantota,347.6,394.70000000000005,279.38947368421054,345
Sri Lanka,West Indies,Pallekele,405.9,238.5,294.4947368421052,307
Australia,India,Sydney,311.79999999999995,256.6,280.1684210526316,374
Australia,India,Sydney,370.9,320.9,300.37368421052633,389
India,Australia,Canberra,334.1,379.0743944142019,326.0105263157895,302
