team,opponent,location,opponent_trend_predict,location_trend_predict,current_trend_predict,runs_scored
Pakistan,New Zealand,Auckland,333.79999999999995,200.94034655918756,275.30526315789473,229
New Zealand,Pakistan,Queenstown,275.19999999999993,112.75684805126463,181.55263157894734,235
Australia,India,Melbourne,247.6,241.20000000000002,272.0157894736842,288
Pakistan,New Zealand,Christchurch,277.20000000000005,249.69705800353145,270.78421052631575,255
Pakistan,New Zealand,Napier,230.10000000000002,214.47168084446832,278.1578947368421,126
New Zealand,Pakistan,Wellington,224.8,186.1,189.0842105263158,307
India,Australia,Brisbane,212.79999999999998,230.52700195782649,263.7526315789474,303
India,Australia,Sydney,262.8,232.42774866951996,265.85263157894735,296
South Africa,West Indies,Cape Town,172.39999999999998,298.5,222.2736842105263,263
South Africa,West Indies,Port Elizabeth,221.20000000000002,354.5,223.89473684210526,179
India,Australia,Perth,326.3999999999999,261.79724057971015,279.5736842105264,203
South Africa,West Indies,Centurion,173.5,337.0,210.52631578947364,297
West Indies,South Africa,Johannesburg,273.20000000000005,258.9052328825712,286.17368421052635,304
India,Australia,Melbourne,292.70000000000005,230.23419659352783,279.22105263157897,222
Australia,India,Sydney,245.10000000000002,286.90000000000003,263.85263157894735,359
New Zealand,South Africa,Auckland,159.99999999999997,174.9,208.14736842105262,225
South Africa,New Zealand,Christchurch,303.5,264.247616813326,221.8473684210526,253
New Zealand,South Africa,Wellington,234.3,277.5,208.82631578947368,254
Australia,Sri Lanka,Dambulla,293.1,186.39665970772444,285.9631578947368,262
Sri Lanka,Australia,Dambulla,190.0,163.3776180260284,215.1736842105263,245
South Africa,New Zealand,Dunedin,287.70000000000005,272.79535997006434,230.7263157894737,259
Sri Lanka,Australia,Colombo (RPS),207.29999999999998,285.2,220.32631578947368,226
Australia,Sri Lanka,Colombo (RPS),284.1,122.66666666666669,286.521052631579,233
New Zealand,South Africa,Auckland,229.3,242.4,222.5263157894737,193
Australia,Sri Lanka,Colombo (SSC),205.89999999999998,340.0,278.0210526315789,198
South Africa,New Zealand,Napier,266.7,215.12120391011348,233.04210526315788,186
India,Pakistan,Karachi,265.6,292.62832354409,279.2842105263158,349
Pakistan,India,Rawalpindi,301.29999999999995,328.66666666666663,251.44736842105266,329
India,Pakistan,Peshawar,379.0,221.24303761180337,307.9105263157895,244
Pakistan,India,Lahore,373.1,276.79999999999995,256.87894736842105,293
India,Pakistan,Lahore,312.79999999999995,266.5517411703458,314.0315789473684,293
England,West Indies,Gros Islet,107.0,233.15895111358714,187.41578947368419,281
England,West Indies,Gros Islet,197.29999999999998,247.9696401487623,194.43684210526317,280
West Indies,England,Bridgetown,131.89999999999998,280.5,261.98947368421057,261
West Indies,Bangladesh,Kingstown,268.0,187.66666666666669,260.6842105263158,124
Bangladesh,West Indies,St George's,106.00000000000003,181.1540895411029,139.6,118
England,West Indies,Nottingham,267.0,252.19332457936997,205.4736842105263,147
England,New Zealand,Chester-le-Street,216.5,172.58710290434553,183.43684210526314,101
West Indies,England,Leeds,188.09999999999997,233.02436360670958,238.53684210526316,159
West Indies,New Zealand,Cardiff,116.50000000000003,244.99073621477316,221.37894736842105,216
England,New Zealand,Bristol,125.6,259.23842066725496,155.82105263157897,237
England,West Indies,Lord's,215.3,337.0,165.93684210526314,285
New Zealand,West Indies,Lord's,260.5,209.8239601462158,221.03157894736842,266
Pakistan,Bangladesh,Colombo (SSC),274.0,230.5559753576166,261.82105263157894,257
Sri Lanka,India,Dambulla,202.9,318.0,215.46315789473684,282
Bangladesh,India,Colombo (SSC),218.7,102.0,130.94736842105263,177
Pakistan,Sri Lanka,Colombo (RPS),215.1,134.00000000000003,257.56315789473683,122
Bangladesh,Sri Lanka,Colombo (RPS),74.5,161.9083328874659,143.56315789473683,190
Pakistan,India,Colombo (RPS),315.20000000000005,62.49999999999999,223.86842105263156,300
Bangladesh,Pakistan,Colombo (RPS),265.0,160.76042523075066,157.94736842105263,166
Sri Lanka,India,Colombo (RPS),256.8,257.70000000000005,226.04736842105265,228
South Africa,Sri Lanka,Colombo (RPS),255.1,246.21126607809433,224.53684210526316,263
Pakistan,India,Amstelveen,307.0,282.28904460398076,231.86315789473684,192
Sri Lanka,South Africa,Colombo (RPS),169.7,203.70000000000002,228.35263157894738,213
South Africa,Sri Lanka,Dambulla,262.3,195.28292176658215,222.88947368421051,191
South Africa,Sri Lanka,Dambulla,215.2,194.78892824312794,208.56315789473683,235
Australia,Pakistan,Amstelveen,309.7,223.64101352881067,258.2578947368421,192
Sri Lanka,South Africa,Colombo (SSC),214.39999999999998,212.70000000000002,229.17368421052632,308
India,England,Nottingham,274.2,248.29546063692405,324.0052631578948,170
England,India,The Oval,294.40000000000003,215.33333333333334,183.9894736842105,307
Australia,Pakistan,Lord's,223.49999999999997,261.5380608998693,247.16315789473683,269
India,England,Lord's,198.4,247.27124492147232,293.45789473684215,204
Bangladesh,South Africa,Birmingham,91.66666666666669,158.12491324176025,166.80526315789473,93
West Indies,Bangladesh,Southampton,144.70000000000002,162.1636274492001,215.32105263157894,269
New Zealand,Australia,The Oval,185.70000000000002,219.93699128574534,230.60526315789474,198
England,Sri Lanka,Southampton,115.10000000000002,208.1623700761737,201.3578947368421,251
South Africa,West Indies,The Oval,287.4,303.0,212.8736842105263,246
India,Pakistan,Birmingham,321.49999999999994,234.1020728217146,270.35263157894735,200
Australia,England,Birmingham,252.7,241.91547505274357,254.37368421052633,259
Pakistan,West Indies,Southampton,220.3,238.51377142971458,228.02105263157895,131
England,West Indies,The Oval,269.8,310.0,217.41052631578947,217
Sri Lanka,Pakistan,Karachi,176.8,297.5638946448035,246.95263157894735,232
Sri Lanka,Pakistan,Lahore,196.4,273.0,247.67894736842103,293
Sri Lanka,Pakistan,Lahore,265.70000000000005,331.66666666666663,248.26315789473685,287
Bangladesh,New Zealand,Dhaka,279.99999999999994,132.4,162.61052631578949,146
New Zealand,Bangladesh,Dhaka,204.00000000000003,226.17005753449098,235.81578947368422,250
India,Pakistan,Kolkata,213.60000000000002,302.4209666884389,245.15263157894736,292
Australia,New Zealand,Melbourne (Docklands),184.49999999999997,39.00000000000006,247.52105263157895,246
Australia,New Zealand,Sydney,244.89999999999998,321.0,237.72631578947366,261
